OriginalName	RevisedName	Order	Family	Genus	OriginalName_cleaned
?Dipodomys sp	Dipodomys sp	Rodentia	Heteromyidae	Dipodomys	?Dipodomys sp
?Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis	?Mephitis mephitis
?Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus	?Microtus sp
?Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela	?Mustela frenata
?Neotamias/Tamias sp	Neotamias/Tamias sp	Rodentia	Sciuridae	Neotamias/Tamias	?Neotamias/Tamias sp
?Neotoma sp	Neotoma sp	Rodentia	Cricetidae	Neotoma	?Neotoma sp
?Onychomys torridus	Onychomys torridus	Rodentia	Cricetidae	Onychomys	?Onychomys torridus
?Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	?Otospermophilus beecheyi
?Peromyscus maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	?Peromyscus maniculatus
?Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	?Peromyscus sp
?Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	?Reithrodontomys megalotis
?Sorex sp	Sorex sp	Eulipotyphla	Soricidae	Sorex	?Sorex sp
?Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale	?Spilogale gracilis
?Sylvilagus sp	Sylvilagus sp	Lagomorpha	Leporidae	Sylvilagus	?Sylvilagus sp
?Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	?Tamias sp
?Thomomys sp	Thomomys sp	Rodentia	Geomyidae	Thomomys	?Thomomys sp
Aves-NA	Aves	NA	NA	NA	Aves
Canis cf dirus	Canis dirus	Carnivora	Canidae	Canis	Canis cf dirus
Canis cf latrans	Canis latrans	Carnivora	Canidae	Canis	Canis cf latrans
Canis dirus	Canis dirus	Carnivora	Canidae	Canis	Canis dirus
Canis latrans	Canis latrans	Carnivora	Canidae	Canis	Canis latrans
Canis sp	Canis sp	Carnivora	Canidae	Canis	Canis sp
Capromeryx minor	Capromeryx minor	Artiodactyla	Antilocapridae	Capromeryx	Capromeryx minor
cf Lepus sp	Lepus sp	Lagomorpha	Leporidae	Lepus	cf Lepus sp
cf Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus	cf Microtus sp
cf Onychomys torridus	Onychomys torridus	Rodentia	Cricetidae	Onychomys	cf Onychomys torridus
cf Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	cf Otospermophilus beecheyi
cf Peromyscus cf californicus	Peromyscus californicus	Rodentia	Cricetidae	Peromyscus	cf Peromyscus cf californicus
cf Peromyscus maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	cf Peromyscus maniculatus
cf Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	cf Peromyscus sp
cf Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	cf Reithrodontomys megalotis
cf Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale	cf Spilogale gracilis
cf Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	cf Tamias sp
cf Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea	cf Taxidea taxus
Dipodomys sp	Dipodomys sp	Rodentia	Heteromyidae	Dipodomys	Dipodomys sp
Insecta-Hymenoptera	Hymenoptera	NA	NA	NA	Insecta-Hymenoptera
Mammalia-??	Mammalia	NA	NA	NA	Mammalia
Mammalia-???	Mammalia	NA	NA	NA	Mammalia
Mammalia-?Carnivora	Mammalia	NA	NA	NA	Mammalia ?Carnivora
Mammalia-?Eulipotyphla	Mammalia	NA	NA	NA	Mammalia ?Eulipotyphla
Mammalia-?Lagomorpha	Mammalia	NA	NA	NA	Mammalia ?Lagomorpha
Mammalia-?Rodentia	Mammalia	NA	NA	NA	Mammalia-?Rodentia
Mammalia-Artiodactyla	Artiodactyla	Artiodactyla	NA	NA	Mammalia-Artiodactyla
Mammalia-Carnivora	Carnivora	Carnivora	NA	NA	Mammalia-Carnivora
Mammalia-cf Carnivora	Carnivora	Carnivora	NA	NA	Mammalia cf Carnivora
Mammalia-cf Rodentia	Rodentia	Rodentia	NA	NA	Mammalia-cf Rodentia
