"Taxon"	"Units"	"A3/L3"	"A3/L1"	"A2/L1"	"B2/L1"	"B3/L1"	"A2/L2"	"B2/L3"	"B3/L2-T1"	"B3/L2-T2"	"B3/L3-T1"	"A3/L2"	"B2/L2"	"B3/L2"	"B3/L3"	"B2/L4"	"B3/L4"	"misc"
"Microtus sp"	"present/absent"	1	1	1	NA	1	1	1	NA	NA	NA	1	1	1	1	NA	NA	1
"?Microtus sp"	"present/absent"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Sylvilagus sp"	"present/absent"	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	1
"Dipodomys sp"	"present/absent"	1	1	1	1	1	1	1	NA	NA	NA	1	1	1	NA	NA	NA	NA
"Thomomys sp"	"present/absent"	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"Otospermophilus ?beecheyi"	"present/absent"	1	1	1	1	NA	1	1	1	1	1	1	1	1	NA	NA	NA	NA
"Peromyscus cf californicus"	"present/absent"	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"?Peromyscus sp"	"present/absent"	1	NA	1	1	NA	NA	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA
"Peromyscus cf P. maniculatus"	"present/absent"	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA
"Peromyscus sp"	"present/absent"	1	1	1	1	1	1	1	NA	NA	NA	1	1	1	NA	NA	NA	NA
"Mammalia-Rodentia"	"present/absent"	1	1	1	1	1	1	1	NA	NA	NA	1	1	1	NA	NA	1	1
"Sylvilagus audubonii"	"present/absent"	1	1	NA	NA	NA	1	1	1	NA	NA	1	1	1	NA	NA	NA	NA
"Neotoma sp"	"present/absent"	1	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA
"Canis latrans"	"present/absent"	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
"Mustela frenata"	"present/absent"	1	1	1	1	NA	1	1	NA	NA	1	1	1	NA	NA	NA	NA	NA
"Mammalia-Carnivora"	"present/absent"	1	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	1
"?Thomomys sp"	"present/absent"	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
