name	longitude	latitude	issues	prov	key	scientificName	datasetKey	publishingOrgKey	installationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	hostingOrganizationKey	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	coordinateUncertaintyInMeters	continent	stateProvince	year	month	day	eventDate	lastInterpreted	license	isInCluster	geodeticDatum	class	countryCode	country	identifier	georeferencedDate	recordNumber	higherGeography	verbatimEventDate	institutionID	georeferencedBy	georeferenceProtocol	georeferenceVerificationStatus	county	locality	gbifID	collectionCode	language	occurrenceID	type	preparations	catalogNumber	recordedBy	institutionCode	startDayOfYear	collectionID	higherClassification	georeferenceSources	lifeStage	dynamicProperties	reproductiveCondition	occurrenceRemarks	verbatimElevation	otherCatalogNumbers	georeferenceRemarks	occID
Neotamias merriami (J.A.Allen, 1889)	-121.95226042409453	37.233157189304194	cdrep,txmathi	gbif	583513760	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:34.359+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	FEMALE	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	4249	NORTH_AMERICA	California	1972	7	4	1972-07-04	2021-06-01T23:41:34.359+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:21872	http://grscicoll.org/institutional-collection/mammalogy-0	RJB1	North America; USA; California; Santa Clara Co.	4 Jul 1972	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2003-01-16 00:00:00.0	unverified	Santa Clara Co.	Los Gatos	583513760	CASMAM	en	urn:catalog:CAS:MAM:21872	PhysicalObject	SS	21872	R. J. Brown	CASC	186	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	TIGER census data layer 2000	NA	NA	NA	NA	NA	NA	NA	1
Neotamias merriami (J.A.Allen, 1889)	-122.29175	37.44025		gbif	1064538197	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:28.014+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	FEMALE	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	1137	NORTH_AMERICA	California	1970	7	1	1970-07-01	2021-06-01T23:41:28.014+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:30570	http://grscicoll.org/institutional-collection/mammalogy-0	8-1	North America; USA; California; San Mateo Co.	01 July 1970	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2015-03-27 00:00:00.0	unverified	San Mateo Co.	Huddart Park, near headquarters	1064538197	CASMAM	en	urn:catalog:CAS:MAM:30570	PhysicalObject	SN	30570	Mary Wicksten	CASC	182	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	Google Earth	Adult	Tail=93mm; Foot=34mm; Ear=19mm.; Length=252.0mm	Lactating.	Study skin only. Specimens recieved from CuriOdyssey in August of 2014.	NA	NA	NA	2
Neotamias merriami (J.A.Allen, 1889)	-122.06141022991366	37.02064123641748	cdrep,txmathi	gbif	583481148	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:36.366+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	MALE	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	4273	NORTH_AMERICA	California	1961	7	3	1961-07-03	2021-06-01T23:41:36.366+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:12606	http://grscicoll.org/institutional-collection/mammalogy-0	156	North America; USA; California; Santa Cruz Co.	3 Jul 1961	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2002-12-05 00:00:00.0	unverified	Santa Cruz Co.	2 miles SSE Felton	583481148	CASMAM	en	urn:catalog:CAS:MAM:12606	PhysicalObject	SN	12606	C. E. Wemmer	CASC	184	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	Terrain Navigator 3.02 USGS 1:24,000	NA	NA	NA	NA	NA	NA	NA	3
Neotamias merriami (J.A.Allen, 1889)	-120.4212403451504	35.959999738593766	cdrep,txmathi	gbif	583469935	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:33.168+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	FEMALE	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	214	NORTH_AMERICA	California	1948	2	28	1948-02-28	2021-06-01T23:41:33.168+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:9386	http://grscicoll.org/institutional-collection/mammalogy-0	2299	North America; USA; California; Monterey Co.	28 Feb 1948	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2002-10-23 00:00:00.0	unverified	Monterey Co.	Patriquin Mine, 4 miles north Parkfield	583469935	CASMAM	en	urn:catalog:CAS:MAM:9386	PhysicalObject	SS	9386	R. T. Orr	CASC	59	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	Terrain Navigator 3.02 USGS 1:24,000	NA	NA	NA	NA	3000 ft.	NA	NA	4
Neotamias merriami (J.A.Allen, 1889)	-119.83607818303862	37.748682447556796	cdrep,txmathi	gbif	583451704	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:36.557+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	MALE	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	858	NORTH_AMERICA	California	1919	10	21	1919-10-21	2021-06-01T23:41:36.557+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:2832	http://grscicoll.org/institutional-collection/mammalogy-0	11	North America; USA; California; Madera Co.	21 Oct 1919	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2002-10-11 00:00:00.0	unverified	Madera Co.	Merced Grove, Yosemite National Park	583451704	CASMAM	en	urn:catalog:CAS:MAM:2832	PhysicalObject	SS	2832	W. Heim	CASC	294	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	Terrain Navigator 3.02 USGS 1:100,000	NA	NA	NA	NA	NA	NA	NA	5
Neotamias merriami (J.A.Allen, 1889)	-121.80501748787886	36.45361681790381	cdrep,txmathi	gbif	583447247	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:32.199+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	FEMALE	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	439	NORTH_AMERICA	California	1915	5	21	1915-05-21	2021-06-01T23:41:32.199+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:1068	http://grscicoll.org/institutional-collection/mammalogy-0	15	North America; USA; California; Monterey Co.	21 May 1915	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2002-10-23 00:00:00.0	unverified	Monterey Co.	San Francisquito Ranch	583447247	CASMAM	en	urn:catalog:CAS:MAM:1068	PhysicalObject	SS	1068	NA	CASC	141	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	Terrain Navigator 3.02 USGS 1:24,000	NA	NA	NA	NA	NA	NA	NA	6
Neotamias merriami (J.A.Allen, 1889)	-122.1702778387709	37.4288509678827	cdrep,txmathi	gbif	583501473	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:34.213+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	MALE	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	1976	NORTH_AMERICA	California	1915	10	27	1915-10-27	2021-06-01T23:41:34.213+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:18386	http://grscicoll.org/institutional-collection/mammalogy-0	NA	North America; USA; California; Santa Clara Co.	27 Oct 1915	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2003-01-16 00:00:00.0	unverified	Santa Clara Co.	Stanford University	583501473	CASMAM	en	urn:catalog:CAS:MAM:18386	PhysicalObject	SS	18386	A. P. Barchelder	CASC	300	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	Terrain Navigator 3.02 USGS 1:100,000	NA	NA	NA	No lower jaw.	NA	SU 3102	NA	7
Neotamias merriami (J.A.Allen, 1889)	-119.59892249023319	37.736544553578916	cdrep,txmathi	gbif	583446982	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:29.563+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	NA	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	6437	NORTH_AMERICA	California	1914	7	13	1914-07-13	2021-06-01T23:41:29.563+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:964	http://grscicoll.org/institutional-collection/mammalogy-0	NA	North America; USA; California; Mariposa Co.	13 Jul 1914	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2003-10-03 00:00:00.0	unverified	Mariposa Co.	Yosemite Valley	583446982	CASMAM	en	urn:catalog:CAS:MAM:964	PhysicalObject	SK; Bone sample	964	NA	CASC	194	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	TopoScout 2.04	NA	NA	NA	NA	NA	NA	NA	8
Neotamias merriami (J.A.Allen, 1889)	-121.8880372069909	37.092430953667666	cdrep,txmathi	gbif	583446776	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:29.487+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	MALE	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	33405	NORTH_AMERICA	California	1913	12	7	1913-12-07	2021-06-01T23:41:29.487+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:881	http://grscicoll.org/institutional-collection/mammalogy-0	NA	North America; USA; California; Santa Cruz Co.	7 Dec 1913	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2002-12-05 00:00:00.0	unverified	Santa Cruz Co.	Summit of Santa Cruz Mountains	583446776	CASMAM	en	urn:catalog:CAS:MAM:881	PhysicalObject	SS	881	J. P. Herring	CASC	341	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	Terrain Navigator 3.02 USGS 1:100,000	NA	NA	NA	Taken by R. Thompson.  Original label destroyed.	NA	NA	unable to find summit of range within this county; only includes area within Santa Cruz County.	9
Neotamias merriami (J.A.Allen, 1889)	-116.71059548534056	33.08000488389212	cdrep,txmathi	gbif	583447789	Neotamias merriami (J.A.Allen, 1889)	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:31.903+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	MALE	4972386	1	44	359	1459	9456	2437422	2437444	2437444	Tamias merriami J.A.Allen, 1889	Animalia	Chordata	Rodentia	Sciuridae	Tamias	Tamias merriami	Neotamias	merriami	SPECIES	SYNONYM	LC	1000	NORTH_AMERICA	California	1909	3	2	1909-03-02	2021-06-01T23:41:31.903+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:1294	http://grscicoll.org/institutional-collection/mammalogy-0	NA	North America; USA; California; San Diego Co.	2 Mar 1909	http://grscicoll.org/institution/california-academy-sciences	http://grscicoll.org/institution/california-academy-sciences	2002-10-23 00:00:00.0	unverified	San Diego Co.	Witch Creek	583447789	CASMAM	en	urn:catalog:CAS:MAM:1294	PhysicalObject	SS	1294	H. W. Marsden	CASC	61	http://grscicoll.org/institutional-collection/mammalogy-0	Animalia; Chordata; Mammalia; Rodentia; Sciuridae	Terrain Navigator 3.02 USGS 1:100,000	NA	NA	NA	NA	NA	NA	NA	10
