name	longitude	latitude	issues	prov	key	scientificName	datasetKey	publishingOrgKey	installationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	hostingOrganizationKey	basisOfRecord	occurrenceStatus	sex	establishmentMeans	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	continent	stateProvince	year	month	day	eventDate	modified	lastInterpreted	references	license	institutionKey	isInCluster	geodeticDatum	class	countryCode	country	identifier	higherGeography	verbatimEventDate	nomenclaturalCode	institutionID	endDayOfYear	georeferenceVerificationStatus	county	locality	verbatimLocality	gbifID	collectionCode	language	occurrenceID	type	preparations	catalogNumber	recordedBy	institutionCode	startDayOfYear	occurrenceRemarks	bibliographicCitation	accessRights	higherClassification	lifeStage	dynamicProperties	identifiedBy	recordNumber	georeferencedDate	georeferencedBy	georeferenceProtocol	collectionID	otherCatalogNumbers	individualCount	dateIdentified	coordinateUncertaintyInMeters	identificationVerificationStatus	locationAccordingTo	eventTime	identificationRemarks	verbatimCoordinateSystem	organismID	previousIdentifications	identificationQualifier	georeferenceSources	infraspecificEpithet	elevation	elevationAccuracy	eventRemarks	locationRemarks	reproductiveCondition	georeferenceRemarks	projectId	depth	depthAccuracy	rightsHolder	habitat	namePublishedInYear	fieldNumber	taxonID	vernacularName	nameAccordingTo	acceptedNameUsage	datasetName	locationID	ownerInstitutionCode	datasetID	parentNameUsage	identificationID	samplingProtocol	collectionKey	verbatimElevation	associatedOccurrences	associatedSequences	municipality	taxonRemarks	disposition	informationWithheld	typeStatus	occID
Neotoma macrotis Thomas, 1893	-117.070053	33.124392	gass84,gdativ,incomis	gbif	2381410931	Neotoma macrotis Thomas, 1893	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.404+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	NATIVE	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2019	1	30	2019-01-30	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.404+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26767	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:SDNHM:Mammals:26767	| USA | California | San Diego |  |  |  |	1/30/2019	ICZN	http://grbio.org/cool/4ksk-xsw5	31	requires verification	San Diego	Escondido, 0.9 mi. E Civic Center Plaza	USA | California | San Diego | Escondido, 0.9 mi. E Civic Center Plaza	2381410931	Mammals	en	urn:catalog:SDNHM:Mammals:26767	PhysicalObject	skin & skull	26767	M. Hoffman	SDNHM	31	Skin and Skull	urn:catalog:SDNHM:Mammals:26767. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	http://vertnet.org/resources/norms.html	Neotoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Neotoma macrotis Thomas, 1893	-121.48209	36.23167		gbif	2858297302	Neotoma macrotis Thomas, 1893	6ce7290f-47f6-4046-8356-371f5b6749df	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	US	DWC_ARCHIVE	2021-06-01T23:41:10.386+00:00	2021-06-01T23:41:34.629+00:00	490	66522820-055c-11d8-b84e-b8a03c50a862	PRESERVED_SPECIMEN	PRESENT	MALE	NA	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2019	10	9	2019-10-09	NA	2021-06-01T23:41:34.629+00:00	NA	http://creativecommons.org/publicdomain/zero/1.0/legalcode	NA	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:CAS:MAM:33795	North America; USA; California; Monterey Co.	09 October 2019	NA	http://grscicoll.org/institution/california-academy-sciences	NA	requires verification	Monterey Co.	Arroyo Seco Campground, South of primitive camp sites, Santa Lucia Range.	NA	2858297302	CASMAM	en	urn:catalog:CAS:MAM:33795	PhysicalObject	TISSUE; Skin Study	33795	Marjorie Matocq	CASC	282	Skin and tissues. Animal collected under California Fish and Wildlife Scientific Collecting permit, PI - M. Matocq: SC-191750012	NA	NA	Animalia; Chordata; Mammalia; Rodentia; Cricetidae	Adult	Tail=mm; Hind foot=mm; Ear=mm.; Weight=225 g	Marjorie Matocq	MDM 1011	http://grscicoll.org/institutional-collection/mammalogy-0	http://grscicoll.org/institution/california-academy-sciences	2020-08-31 00:00:00.0	http://grscicoll.org/institutional-collection/mammalogy-0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Neotoma macrotis Thomas, 1893	-116.552895	33.15166	gass84,gdativ,incomis	gbif	2381411016	Neotoma macrotis Thomas, 1893	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.145+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2018	3	28	2018-03-28	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.145+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26401	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:SDNHM:Mammals:26401	| USA | California | San Diego |  |  |  |	3/28/2018	ICZN	http://grbio.org/cool/4ksk-xsw5	87	requires verification	San Diego	San Felipe Valley, 0.9 mi. S Paroli Spring	USA | California | San Diego | San Felipe Valley, 0.9 mi. S Paroli Spring	2381411016	Mammals	en	urn:catalog:SDNHM:Mammals:26401	PhysicalObject	skin & skull	26401	S. Tremor	SDNHM	87	skin & skull	urn:catalog:SDNHM:Mammals:26401. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	http://vertnet.org/resources/norms.html	Neotoma	NA	NA	NA	NA	NA	NA	NA	NA	SFV24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
Neotoma macrotis Thomas, 1893	-116.404085	32.67967	gass84,gdativ,incomis	gbif	2381411110	Neotoma macrotis Thomas, 1893	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.112+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2018	4	26	2018-04-26	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.112+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26501	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:SDNHM:Mammals:26501	| USA | California | San Diego |  |  |  |	4/26/2018	ICZN	http://grbio.org/cool/4ksk-xsw5	116	requires verification	San Diego	Miller Creek at N end of Clover Flat	USA | California | San Diego | Miller Creek at N end of Clover Flat	2381411110	Mammals	en	urn:catalog:SDNHM:Mammals:26501	PhysicalObject	skin & skull	26501	S. Tremor	SDNHM	116	skin & skull; plot 4	urn:catalog:SDNHM:Mammals:26501. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	http://vertnet.org/resources/norms.html	Neotoma	NA	NA	NA	NA	NA	NA	NA	NA	CF28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
Neotoma macrotis Thomas, 1893	-116.409481	32.671045	gass84,gdativ,incomis	gbif	2381411167	Neotoma macrotis Thomas, 1893	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.131+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2018	4	25	2018-04-25	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.131+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26495	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:SDNHM:Mammals:26495	| USA | California | San Diego |  |  |  |	4/25/2018	ICZN	http://grbio.org/cool/4ksk-xsw5	115	requires verification	San Diego	Clover Flat	USA | California | San Diego | Clover Flat	2381411167	Mammals	en	urn:catalog:SDNHM:Mammals:26495	PhysicalObject	skin & skull	26495	S. Tremor	SDNHM	115	skin & skull; plot 2	urn:catalog:SDNHM:Mammals:26495. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	http://vertnet.org/resources/norms.html	Neotoma	NA	NA	NA	NA	NA	NA	NA	NA	CF22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
Neotoma macrotis Thomas, 1893	-116.254615	34.033597	gass84,gdativ,incomis	gbif	2381410856	Neotoma macrotis Thomas, 1893	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.646+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	NATIVE	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2017	4	30	2017-04-30	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.646+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26096	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:SDNHM:Mammals:26096	| USA | CALIFORNIA | SAN BERNARDINO |  |  |  |	4/30/2017	ICZN	http://grbio.org/cool/4ksk-xsw5	120	requires verification	San Bernardino	Joshua Tree Nat'l Park, 0.3 mi. SE Quail Spring	USA | California | San Bernardino | Joshua Tree Nat'l Park, 0.3 mi. SE Quail Spring	2381410856	Mammals	en	urn:catalog:SDNHM:Mammals:26096	PhysicalObject	skin & skull	26096	S. Tremor	SDNHM	120	skin & skull. Elev. 3950 feet	urn:catalog:SDNHM:Mammals:26096. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	http://vertnet.org/resources/norms.html	Neotoma	NA	NA	NA	NA	NA	NA	NA	NA	QS 29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
Neotoma macrotis Thomas, 1893	-116.493123	34.10539	osiic	gbif	2303129886	Neotoma macrotis Thomas, 1893	06a00852-f764-4fb8-80d4-ca51f0918459	2d6267a0-0561-11d8-b851-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T19:37:58.668+00:00	2021-05-29T19:38:27.478+00:00	172	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	MANAGED	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2017	6	8	2017-06-08	2021-05-09T09:20:00.006+00:00	2021-05-29T19:38:27.478+00:00	http://arctos.database.museum/guid/UMNH:Mamm:43743	http://creativecommons.org/publicdomain/zero/1.0/legalcode	NA	FALSE	WGS84	Mammalia	US	United States of America	http://arctos.database.museum/guid/UMNH:Mamm:43743?seid=4316597	North America, United States, California, San Bernardino County	8-Jun-2017	ICZN	UMNH	NA	unverified	San Bernardino County	Big Morongo Reserve	Big Morongo Reserve	2303129886	Mammal specimens	en	http://arctos.database.museum/guid/UMNH:Mamm:43743?seid=4316597	PhysicalObject	skull; muscle (95% ethanol)	UMNH:Mamm:43743	Collector(s): Dearing Lab, Department of Biology, University of Utah; Preparator(s): Antonia Androski	UMNH	NA	NA	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Neotominae, Neotoma,	NA	sex=male;total length=318 mm;tail length=150 mm;hind foot with claw=35 mm;ear from notch=28 mm	Dearing Lab, Department of Biology, University of Utah	DL 1000	2017-06-08 00:00:00	Dearing Lab, Department of Biology, University of Utah	not recorded	67	collector number=DL 1000	1	2017-06-08T00:00:00	1000	features	Dearing Lab, Department of Biology, University of Utah	2017-06-08/2018-11-20	Former nature_of_id: field.	decimal degrees	http://arctos.database.museum/guid/UMNH:Mamm:43743	"[{""scientific_name"":""Neotoma macrotis"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2017-06-08"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: field."",""idby"":""Dearing Lab, Department of Biology, University of Utah"",""concept_label"":null}]"	A	Global positioning system (transcription)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
Neotoma macrotis Thomas, 1893	-116.549885	33.1509	gass84,gdativ,incomis	gbif	2381410823	Neotoma macrotis Thomas, 1893	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.163+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2017	7	26	2017-07-26	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.163+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26386	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:SDNHM:Mammals:26386	| USA | California | San Diego |  |  |  |	7/26/2017	ICZN	http://grbio.org/cool/4ksk-xsw5	207	requires verification	San Diego	San Felipe Valley, 1.0 mi. SSE Paroli Spring	USA | California | San Diego | San Felipe Valley, 1.0 mi. SSE Paroli Spring	2381410823	Mammals	en	urn:catalog:SDNHM:Mammals:26386	PhysicalObject	skin & skull	26386	S. Tremor	SDNHM	207	skin & skull	urn:catalog:SDNHM:Mammals:26386. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	http://vertnet.org/resources/norms.html	Neotoma	NA	NA	NA	NA	NA	NA	NA	NA	SFV11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
Neotoma macrotis Thomas, 1893	-116.69362	33.30937	gass84,gdativ,incomis	gbif	2381411101	Neotoma macrotis Thomas, 1893	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.163+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	NATIVE	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2017	8	8	2017-08-08	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.163+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26388	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:SDNHM:Mammals:26388	| USA | California | San Diego |  |  |  |	8/8/2017	ICZN	http://grbio.org/cool/4ksk-xsw5	220	requires verification	San Diego	Warner Valley, San Luis Rey R. at Puerta La Cruz	USA | California | San Diego | Warner Valley, San Luis Rey R. at Puerta La Cruz	2381411101	Mammals	en	urn:catalog:SDNHM:Mammals:26388	PhysicalObject	skin & skull	26388	S. Tremor	SDNHM	220	skin & skull	urn:catalog:SDNHM:Mammals:26388. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	http://vertnet.org/resources/norms.html	Neotoma	NA	NA	NA	NA	NA	NA	NA	NA	WV8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
Neotoma macrotis Thomas, 1893	-116.3959	34.0561	gass84,gdativ,incomis	gbif	2381411199	Neotoma macrotis Thomas, 1893	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48.656+00:00	2021-03-30T12:20:15.168+00:00	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	NATIVE	4265036	1	44	359	1459	3240723	2438433	4265036	4265036	Neotoma macrotis Thomas, 1893	Animalia	Chordata	Rodentia	Cricetidae	Neotoma	Neotoma macrotis	Neotoma	macrotis	SPECIES	ACCEPTED	LC	NORTH_AMERICA	California	2017	9	13	2017-09-13	2020-11-12T00:00:00.000+00:00	2021-03-30T12:20:15.168+00:00	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26377	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	urn:catalog:SDNHM:Mammals:26377	| USA | CALIFORNIA | SAN BERNARDINO |  |  |  |	9/13/2017	ICZN	http://grbio.org/cool/4ksk-xsw5	256	requires verification	San Bernardino	Joshua Tree Nat'l Park, Black Rock Spring	USA | California | San Bernardino | Joshua Tree Nat'l Park, Black Rock Spring	2381411199	Mammals	en	urn:catalog:SDNHM:Mammals:26377	PhysicalObject	skin & skull	26377	S. Tremor	SDNHM	256	skin & skull	urn:catalog:SDNHM:Mammals:26377. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	http://vertnet.org/resources/norms.html	Neotoma	NA	NA	NA	NA	NA	NA	NA	NA	BRS3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10
