name	longitude	latitude	issues	prov	key	scientificName	datasetKey	publishingOrgKey	installationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	hostingOrganizationKey	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	dateIdentified	coordinateUncertaintyInMeters	elevation	elevationAccuracy	continent	stateProvince	year	month	day	eventDate	modified	lastInterpreted	references	license	institutionKey	isInCluster	geodeticDatum	class	countryCode	country	institutionID	dynamicProperties	county	identificationVerificationStatus	gbifID	language	type	preparations	locationAccordingTo	catalogNumber	institutionCode	eventTime	identifiedBy	identifier	georeferencedDate	higherGeography	nomenclaturalCode	verbatimEventDate	georeferencedBy	georeferenceProtocol	endDayOfYear	georeferenceVerificationStatus	locality	verbatimCoordinateSystem	collectionCode	verbatimLocality	occurrenceID	recordedBy	otherCatalogNumbers	organismID	previousIdentifications	identificationQualifier	samplingProtocol	accessRights	higherClassification	collectionID	georeferenceSources	establishmentMeans	iucnRedListCategory	startDayOfYear	occurrenceRemarks	bibliographicCitation	collectionKey	verbatimElevation	reproductiveCondition	recordNumber	datasetName	individualCount	habitat	eventRemarks	identificationRemarks	locationRemarks	lifeStage	georeferenceRemarks	rightsHolder	fieldNumber	disposition	ownerInstitutionCode	datasetID	vernacularName	http://unknown.org/recordId	taxonID	rights	http://unknown.org/recordEnteredBy	projectId	depth	depthAccuracy	namePublishedInYear	nameAccordingTo	acceptedNameUsage	locationID	parentNameUsage	identificationID	municipality	taxonRemarks	fieldNotes	islandGroup	island	typeStatus	informationWithheld	higherGeographyID	associatedTaxa	occID
Scapanus latimanus latimanus	-122.25701	37.8999	gass84,incomis,inmafu	gbif	2804169311	Scapanus latimanus latimanus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:56:06Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	7194111	1	44	359	803	9469	2436187	2436194	7194111	Scapanus latimanus latimanus	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	latimanus	SUBSPECIES	ACCEPTED	2020-06-01T00:00:00Z	10	270	0	NORTH_AMERICA	California	2020	4	30	2020-04-30	2021-01-08T05:49:07Z	2021-05-29T00:56:06Z	http://arctos.database.museum/guid/MVZ:Mamm:240033	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	MVZ	sex=male;total length=165 mm;tail length=35 mm;hind foot with claw=18 mm;weight=83 g;reproductive data=t: 2 x 1	Contra Costa County	features	2804169311	en	PhysicalObject	skull; tissue (frozen); ectoparasite (70% ethanol); whole organism (formalin-fixed, 70% ethanol)	Christopher J. Conroy	MVZ:Mamm:240033	MVZ	2020-04-30	Christopher J. Conroy	http://arctos.database.museum/guid/MVZ:Mamm:240033?seid=4739263	2020-06-01 00:00:00	North America, United States, California, Contra Costa County	ICZN	30 Apr 2020	Christopher J. Conroy	not recorded	121	accepted	Selby Trail, Tilden Regional Park, ~0.75 mi ESE junction of Spruce Street and Grizzly Peak Blvd.	decimal degrees	Mammal specimens	Selby Trail, Tilden Regional Park, Contra Costa County, California. Ca. 885 ft. [approx. 0.75 mi ESE junction of Spruce St., Grizzly Peak Blvd., and Wildcat Canyon Rd.]. 37.89990, -122.25701 WGS 84	http://arctos.database.museum/guid/MVZ:Mamm:240033?seid=4739263	Collector(s): James L. Patton; Preparator(s): Christopher J. Conroy	preparator number=3300	http://arctos.database.museum/guid/MVZ:Mamm:240033	"[{""scientific_name"":""Scapanus latimanus latimanus"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2020-06-01"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""Christopher J. Conroy"",""concept_label"":null}]"	A	dead on trail	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus,	28	collector	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Scapanus latimanus latimanus	-122.279723	37.904452	incomis,inmafu	gbif	2804167303	Scapanus latimanus latimanus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:56:06Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	7194111	1	44	359	803	9469	2436187	2436194	7194111	Scapanus latimanus latimanus	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	latimanus	SUBSPECIES	ACCEPTED	2020-06-02T00:00:00Z	26	NA	NA	NORTH_AMERICA	California	2019	6	17	2019-06-17	2021-05-19T13:43:29Z	2021-05-29T00:56:06Z	http://arctos.database.museum/guid/MVZ:Mamm:240021	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	MVZ	total length=160 mm;tail length=31 mm;hind foot with claw=18 mm;weight=57 g;sex=unknown	Contra Costa County	features	2804167303	en	PhysicalObject	skull; tissue (frozen); skin, study	Christopher J. Conroy	MVZ:Mamm:240021	MVZ	2019-06-17	Christopher J. Conroy	http://arctos.database.museum/guid/MVZ:Mamm:240021?seid=4665003	2020-06-02 00:00:00	North America, United States, California, Contra Costa County	ICZN	17 June 2019	Christopher J. Conroy	GeoLocate	168	unverified	140 Ardmore Rd., Kensington	decimal degrees	Mammal specimens	140 Ardmore Road, Kensington, Contra Costa Co., California	http://arctos.database.museum/guid/MVZ:Mamm:240021?seid=4665003	Collector(s): Jimmy A. McGuire; Preparator(s): Christopher J. Conroy	preparator number=3304	http://arctos.database.museum/guid/MVZ:Mamm:240021	"[{""scientific_name"":""Scapanus latimanus latimanus"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2020-06-02"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""Christopher J. Conroy"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus, , <i></i>	28	GeoLocate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Scapanus latimanus (Bachman, 1842)	-121.501	37.0181	gass84,gdativ,incomis	gbif	2381411716	Scapanus latimanus (Bachman, 1842)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48Z	2021-03-30T12:20:15Z	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	2436194	1	44	359	803	9469	2436187	2436194	2436194	Scapanus latimanus (Bachman, 1842)	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	NA	SPECIES	ACCEPTED	NA	NA	NA	NA	NORTH_AMERICA	California	2018	12	27	2018-12-27	2020-11-12T00:00:00Z	2021-03-30T12:20:15Z	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26836	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	NA	Santa Clara	NA	2381411716	en	PhysicalObject	skin & skull	NA	26836	SDNHM	NA	NA	urn:catalog:SDNHM:Mammals:26836	NA	| USA | California | Santa Clara |  |  |  |	ICZN	12/27/2018	NA	NA	361	requires verification	3.8 mi. ENE Gilroy	NA	Mammals	USA | California | Santa Clara | 3.8 mi. ENE Gilroy	urn:catalog:SDNHM:Mammals:26836	G. Squires	NA	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Scapanus	NA	NA	NATIVE	LC	361	skin and skull	urn:catalog:SDNHM:Mammals:26836. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
Scapanus latimanus (Bachman, 1842)	-117.0419	33.1465	gass84,gdativ,incomis	gbif	2381410643	Scapanus latimanus (Bachman, 1842)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48Z	2021-03-30T12:20:15Z	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	2436194	1	44	359	803	9469	2436187	2436194	2436194	Scapanus latimanus (Bachman, 1842)	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	NA	SPECIES	ACCEPTED	NA	NA	NA	NA	NORTH_AMERICA	California	2017	4	4	2017-04-04	2020-11-12T00:00:00Z	2021-03-30T12:20:15Z	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26074	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	NA	San Diego	NA	2381410643	en	PhysicalObject	skin & skull	NA	26074	SDNHM	NA	NA	urn:catalog:SDNHM:Mammals:26074	NA	| USA | California | San Diego |  |  |  |	ICZN	4/4/2017	NA	NA	94	requires verification	Escondido, 0.8 mi. S Dixon Lake	NA	Mammals	USA | California | San Diego | Escondido, 0.8 mi. S Dixon Lake	urn:catalog:SDNHM:Mammals:26074	Project Wildlife	PW 17-1967	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Scapanus	NA	NA	NATIVE	LC	94	Found at 711 Sandalwood Place.	urn:catalog:SDNHM:Mammals:26074. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
Scapanus latimanus occultus Grinnell & Swarth, 1912	-118.317747	34.124208	colmafu,inmafu	gbif	2540710106	Scapanus latimanus occultus Grinnell & Swarth, 1912	7a25f7aa-03fb-4322-aaeb-66719e1a9527	493fe050-055d-11d8-b84f-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-28T07:21:59Z	2021-03-30T11:02:14Z	147	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	6163433	1	44	359	803	9469	2436187	2436194	6163433	Scapanus latimanus occultus Grinnell & Swarth, 1912	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	occultus	SUBSPECIES	ACCEPTED	NA	NA	NA	NA	NORTH_AMERICA	California	2017	4	4	2017-04-04	2019-12-29T00:00:00Z	2021-03-30T11:02:14Z	http://portal.vertnet.org/o/lacm/mammals?id=20dcfcde-6553-4577-8fa5-fbf9da3a4c79	http://creativecommons.org/publicdomain/zero/1.0/legalcode	2fc908ba-e775-49e2-bffe-6b9041c3b70f	FALSE	WGS84	Mammalia	US	United States of America	http://biocol.org/urn:lsid:biocol:org:34802	"{""measurements"":""153-31-19-0"",""weightInGrams"":""51.0"" }"	Los Angeles	NA	2540710106	en	PhysicalObject	Skin, skull and body skeleton	NA	097973	LACM	NA	NA	20dcfcde-6553-4577-8fa5-fbf9da3a4c79	NA	| United States | California | Los Angeles Co |  |  |  |	ICZN	4/04/2017	J. Dines (LACM)	NA	94	requires verification	Hollywood, 3062 Hollyridge Drive	NA	Mammals	United States | California | Los Angeles Co | Hollywood, 3062 Hollyridge Drive	20dcfcde-6553-4577-8fa5-fbf9da3a4c79	Sansone, L; Symonds, M J	NA	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Soricomorpha | Talpidae | Scapanus	http://biocol.org/urn:lsid:biocol:org:34897	Google Earth	NATIVE	NA	94	prep by M J Symonds, 5 APR 2017 carcass found with puncture wounds tissues saved	20dcfcde-6553-4577-8fa5-fbf9da3a4c79. LACM Vertebrates. http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts.	0b9fbf2e-5af8-4b06-9537-647eb8439783	280	testes abdominal: 4 x 6	MJS 30	LACM Vertebrates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
Scapanus latimanus (Bachman, 1842)	-116.87658	34.1635	gass84,gdativ,incomis	gbif	2381411068	Scapanus latimanus (Bachman, 1842)	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48Z	2021-03-30T12:20:15Z	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	2436194	1	44	359	803	9469	2436187	2436194	2436194	Scapanus latimanus (Bachman, 1842)	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	NA	SPECIES	ACCEPTED	NA	NA	NA	NA	NORTH_AMERICA	California	2017	6	13	2017-06-13	2020-11-12T00:00:00Z	2021-03-30T12:20:15Z	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26723	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	http://grbio.org/cool/4ksk-xsw5	NA	San Bernardino	NA	2381411068	en	PhysicalObject	skin & skull	NA	26723	SDNHM	NA	NA	urn:catalog:SDNHM:Mammals:26723	NA	| USA | CALIFORNIA | SAN BERNARDINO |  |  |  |	ICZN	6/13/2017	NA	NA	164	requires verification	San Bernardino Mts., 0.1 m. E Jenks Lake	NA	Mammals	USA | California | San Bernardino | San Bernardino Mts., 0.1 m. E Jenks Lake	urn:catalog:SDNHM:Mammals:26723	Kevin Clark	NA	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Scapanus	NA	NA	NATIVE	LC	164	Skin and skull	urn:catalog:SDNHM:Mammals:26723. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
Scapanus latimanus latimanus	-122.21183	37.837363	incomis,inmafu	gbif	2821447301	Scapanus latimanus latimanus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:55:57Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	7194111	1	44	359	803	9469	2436187	2436194	7194111	Scapanus latimanus latimanus	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	latimanus	SUBSPECIES	ACCEPTED	2020-07-24T00:00:00Z	25	NA	NA	NORTH_AMERICA	California	2015	5	18	2015-05-18	2021-01-21T12:58:19Z	2021-05-29T00:55:57Z	http://arctos.database.museum/guid/MVZ:Mamm:240039	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	MVZ	sex=female;total length=154 mm;tail length=28 mm;hind foot with claw=19 mm;weight=67 g;reproductive data=no embs or scars	Alameda County	features	2821447301	en	PhysicalObject	skull; tissue (frozen); skeleton	Ahmed Akbar	MVZ:Mamm:240039	MVZ	2015-05-18	Christopher J. Conroy	http://arctos.database.museum/guid/MVZ:Mamm:240039?seid=4802223	2020-07-24 00:00:00	North America, United States, California, Alameda County	ICZN	18 May 2015	Ahmed Akbar	GeoLocate	138	accepted	5923 Marden Lane, Oakland	decimal degrees	Mammal specimens	5923 Marden Lane, Oakland, Alameda County, California	http://arctos.database.museum/guid/MVZ:Mamm:240039?seid=4802223	Collector(s): Letitia Grenier; Preparator(s): Ahmed Akbar	MVZ Prep Lab Catalog=5101	http://arctos.database.museum/guid/MVZ:Mamm:240039	"[{""scientific_name"":""Scapanus latimanus latimanus"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2020-07-24"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""Christopher J. Conroy"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus,	28	GeoLocate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
Scapanus latimanus latimanus	-122.144533	37.926298	gass84,gdativ,osiic,incomis,inmafu	gbif	1302836784	Scapanus latimanus latimanus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:56:06Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	7194111	1	44	359	803	9469	2436187	2436194	7194111	Scapanus latimanus latimanus	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	latimanus	SUBSPECIES	ACCEPTED	2015-06-09T00:00:00Z	5	NA	NA	NORTH_AMERICA	California	2015	6	9	2015-06-09	2021-04-29T15:50:00Z	2021-05-29T00:56:06Z	http://arctos.database.museum/guid/MVZ:Mamm:232962	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	MVZ	sex=female;total length=165 mm;tail length=26 mm;hind foot with claw=18 mm;weight=58.3 g;reproductive data=uteri narrow and unvascularized	Contra Costa County	features	1302836784	en	PhysicalObject	skull; tissue (frozen); skeleton	Monica J. Albe	MVZ:Mamm:232962	MVZ	2015-06-09	Monica J. Albe	http://arctos.database.museum/guid/MVZ:Mamm:232962?seid=3181121	2015-06-09 00:00:00	North America, United States, California, Contra Costa County	ICZN	9 Jun 2015	Monica J. Albe	not recorded	160	unverified	Briones Regional Park	decimal degrees	Mammal specimens	Briones Regional Park, Contra Costa County, California	http://arctos.database.museum/guid/MVZ:Mamm:232962?seid=3181121	Collector(s): unknown; Preparator(s): Monica J. Albe	MVZ Prep Lab Catalog=3437	http://arctos.database.museum/guid/MVZ:Mamm:232962	"[{""scientific_name"":""Scapanus latimanus latimanus"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2015-06-09"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Monica J. Albe"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus,	28	not recorded	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	oak woodland	found dead	Former nature_of_id: expert.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
Scapanus latimanus latimanus	-122.133568	38.013561	gass84,osiic,incomis,inmafu	gbif	1703241016	Scapanus latimanus latimanus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:56:06Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	7194111	1	44	359	803	9469	2436187	2436194	7194111	Scapanus latimanus latimanus	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	latimanus	SUBSPECIES	ACCEPTED	2015-11-17T00:00:00Z	20	NA	NA	NORTH_AMERICA	California	2014	2	13	2014-02-13	2021-01-22T20:40:00Z	2021-05-29T00:56:06Z	http://arctos.database.museum/guid/MVZ:Mamm:235853	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	MVZ	sex=unknown;total length=189 mm;tail length=27 mm;hind foot with claw=21 mm;ear from notch=0 mm;weight=43.2 g	Contra Costa County	features	1703241016	en	PhysicalObject	skull; tissue (frozen); skin, study; skeleton	Anderson Chen	MVZ:Mamm:235853	MVZ	2014-02-13	Anderson Chen	http://arctos.database.museum/guid/MVZ:Mamm:235853?seid=3930893	2015-11-17 00:00:00	North America, United States, California, Contra Costa County	ICZN	13 Feb 2014	Anderson Chen	Google automated georeference	44	unverified	1304 Estudillo Street, Martinez	decimal degrees	Mammal specimens	1304 Estudillo Street, Martinez, Contra Costa County, California	http://arctos.database.museum/guid/MVZ:Mamm:235853?seid=3930893	Collector(s): Lindsay Wildlife Hospital	LWH: Lindsay Wildlife Hospital=14-181, MVZ Prep Lab Catalog=3581	http://arctos.database.museum/guid/MVZ:Mamm:235853	"[{""scientific_name"":""Scapanus latimanus latimanus"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2015-11-17"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Anderson Chen"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus,	28	Google auto-suggest georeference	NA	NA	NA	Gonads too degraded to identify.	NA	NA	NA	NA	NA	NA	1	NA	NA	Former nature_of_id: expert.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
Scapanus latimanus latimanus	-122.049637	37.886307	cdround,gass84,osiic,incomis,inmafu	gbif	1703241012	Scapanus latimanus latimanus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:55:57Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	7194111	1	44	359	803	9469	2436187	2436194	7194111	Scapanus latimanus latimanus	Animalia	Chordata	Soricomorpha	Talpidae	Scapanus	Scapanus latimanus	Scapanus	latimanus	latimanus	SUBSPECIES	ACCEPTED	2015-11-17T00:00:00Z	25	NA	NA	NORTH_AMERICA	California	2014	5	5	2014-05-05	2021-01-22T20:40:00Z	2021-05-29T00:55:57Z	http://arctos.database.museum/guid/MVZ:Mamm:235852	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	MVZ	sex=male ?;total length=155 mm;tail length=31 mm;hind foot with claw=21 mm;ear from notch=0 mm;weight=51.1 g	Contra Costa County	relationship	1703241012	en	PhysicalObject	skull; tissue (frozen); skin, study; skeleton, partial	Theresa L. Wong	MVZ:Mamm:235852	MVZ	2014-05-05	Theresa L. Wong	http://arctos.database.museum/guid/MVZ:Mamm:235852?seid=3930894	2015-11-17 00:00:00	North America, United States, California, Contra Costa County	ICZN	5 May 2014	Theresa L. Wong	Google automated georeference	125	unverified	110 Murwood court, Walnut Creek	decimal degrees	Mammal specimens	110 Muirwood court, Walnut Creek, Contra Costa County, California	http://arctos.database.museum/guid/MVZ:Mamm:235852?seid=3930894	Collector(s): Lindsay Wildlife Hospital; Preparator(s): Theresa L. Wong	LWH: Lindsay Wildlife Hospital=14-1507, preparator number=251	http://arctos.database.museum/guid/MVZ:Mamm:235852	"[{""scientific_name"":""Scapanus latimanus latimanus"",""nature_of_id"":""relationship"",""accepted_id_fg"":1,""made_date"":""2015-11-17"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: ID of kin."",""idby"":""Theresa L. Wong"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Talpidae, Scalopinae, Scalopini, Scapanus, Scapanus latimanus,	28	Google auto-suggest georeference	NA	NA	NA	Gonads too degraded to identify with confidence.	NA	NA	NA	NA	NA	NA	1	NA	NA	Former nature_of_id: ID of kin.	"Original data read ""Muirwood"", but there is no Muirwood in Walnut Creek"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10
