name	longitude	latitude	issues	prov	key	scientificName	datasetKey	publishingOrgKey	installationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	hostingOrganizationKey	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	dateIdentified	coordinateUncertaintyInMeters	continent	stateProvince	year	month	day	eventDate	modified	lastInterpreted	references	license	institutionKey	isInCluster	geodeticDatum	class	countryCode	country	habitat	institutionID	dynamicProperties	county	identificationVerificationStatus	gbifID	language	type	preparations	locationAccordingTo	catalogNumber	institutionCode	eventTime	identificationRemarks	identifiedBy	identifier	georeferencedDate	higherGeography	nomenclaturalCode	verbatimEventDate	georeferencedBy	georeferenceProtocol	endDayOfYear	georeferenceVerificationStatus	locality	verbatimCoordinateSystem	collectionCode	verbatimLocality	occurrenceID	recordedBy	otherCatalogNumbers	organismID	previousIdentifications	identificationQualifier	samplingProtocol	accessRights	higherClassification	collectionID	georeferenceSources	establishmentMeans	iucnRedListCategory	startDayOfYear	occurrenceRemarks	bibliographicCitation	individualCount	eventRemarks	recordNumber	elevation	elevationAccuracy	locationRemarks	projectId	depth	depthAccuracy	rightsHolder	namePublishedInYear	taxonID	vernacularName	nameAccordingTo	acceptedNameUsage	datasetName	locationID	ownerInstitutionCode	datasetID	parentNameUsage	identificationID	lifeStage	collectionKey	verbatimElevation	reproductiveCondition	georeferenceRemarks	fieldNumber	namePublishedIn	associatedSequences	disposition	island	typeStatus	higherGeographyID	occID
Sorex ornatus salarius von Bloeker, 1939	-121.78976400000002	36.84108499909434	cdrep,cdround,incomis,inmafu	gbif	3094049302	Sorex ornatus salarius von Bloeker, 1939	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:56:06Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	6163344	1	44	359	803	5534	2435935	2436078	6163344	Sorex ornatus salarius von Bloeker, 1939	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	salarius	SUBSPECIES	ACCEPTED	2021-03-10T00:00:00Z	50	NORTH_AMERICA	California	2021	3	10	2021-03-10	2021-04-20T12:28:01Z	2021-05-29T00:56:06Z	http://arctos.database.museum/guid/MVZ:Mamm:240319	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	Patches of willow adjacent to emergent marsh vegetation along the extensive freshwater slough, which is surrounded by commercial agriculture in all directions.  	MVZ	sex=female;weight=4.5 g	Monterey County	features	3094049302	en	PhysicalObject	skull; tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen) sample; tissue (frozen) sample; tissue (frozen) sample; carcass (formalin-fixed, 70% ethanol)	Christopher J. Conroy	MVZ:Mamm:240319	MVZ	2021-03-10	confirmed by J. L. Patton	Christopher J. Conroy	http://arctos.database.museum/guid/MVZ:Mamm:240319?seid=5057864	2021-03-10 00:00:00	North America, United States, California, Monterey County	ICZN	10 Mar 2021	Christopher J. Conroy	not recorded	69	accepted	McClusky Slough, 2.5 mi N Moss Landing	decimal degrees	Mammal specimens	McClusky Slough along the coast in North Monterey County near Moss Landing, 10S 607908 4077927 (NAD 83).	http://arctos.database.museum/guid/MVZ:Mamm:240319?seid=5057864	Collector(s): Mark Allaback; Chad Steiner; Preparator(s): Christopher J. Conroy	preparator number=3344	http://arctos.database.museum/guid/MVZ:Mamm:240319	"[{""scientific_name"":""Sorex ornatus salarius"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2021-03-10"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""confirmed by J. L. Patton"",""idby"":""Christopher J. Conroy"",""concept_label"":null}]"	A	pitfall	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Soricidae, Soricinae, Soricini, Sorex, Otisorex, Sorex ornatus,	28	GPS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
Sorex ornatus Merriam, 1895	-116.552895	33.15166	gass84,gdativ,incomis	gbif	2381410207	Sorex ornatus Merriam, 1895	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48Z	2021-03-30T12:20:15Z	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	NA	2436078	1	44	359	803	5534	2435935	2436078	2436078	Sorex ornatus Merriam, 1895	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	NA	SPECIES	ACCEPTED	NA	NA	NORTH_AMERICA	California	2018	3	27	2018-03-27	2020-11-12T00:00:00Z	2021-03-30T12:20:15Z	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26409	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	NA	http://grbio.org/cool/4ksk-xsw5	NA	San Diego	NA	2381410207	en	PhysicalObject	skin & skull	NA	26409	SDNHM	NA	NA	NA	urn:catalog:SDNHM:Mammals:26409	NA	| USA | California | San Diego |  |  |  |	ICZN	3/27/2018	NA	NA	86	requires verification	San Felipe Valley, 0.9 mi. S Paroli Spring	NA	Mammals	USA | California | San Diego | San Felipe Valley, 0.9 mi. S Paroli Spring	urn:catalog:SDNHM:Mammals:26409	S. Tremor	NA	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Sorex	NA	NA	NATIVE	LC	86	skin & skull	urn:catalog:SDNHM:Mammals:26409. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
Sorex ornatus Merriam, 1895	-116.412395	32.66379	gass84,gdativ,incomis	gbif	2381411063	Sorex ornatus Merriam, 1895	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48Z	2021-03-30T12:20:15Z	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	2436078	1	44	359	803	5534	2435935	2436078	2436078	Sorex ornatus Merriam, 1895	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	NA	SPECIES	ACCEPTED	NA	NA	NORTH_AMERICA	California	2017	10	24	2017-10-24	2020-11-12T00:00:00Z	2021-03-30T12:20:15Z	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-26330	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	NA	http://grbio.org/cool/4ksk-xsw5	NA	San Diego	NA	2381411063	en	PhysicalObject	skin & skull	NA	26330	SDNHM	NA	NA	NA	urn:catalog:SDNHM:Mammals:26330	NA	| USA | California | San Diego |  |  |  |	ICZN	10/24/2017	NA	NA	297	requires verification	Clover Flat	NA	Mammals	USA | California | San Diego | Clover Flat	urn:catalog:SDNHM:Mammals:26330	S. Tremor	CF1	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Sorex	NA	NA	NATIVE	LC	297	skin & skull; plot 1	urn:catalog:SDNHM:Mammals:26330. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
Sorex ornatus ornatus	-120.587933	34.68805	cdround,osiic,incomis,inmafu	gbif	1455547526	Sorex ornatus ornatus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:55:56Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	7059216	1	44	359	803	5534	2435935	2436078	7059216	Sorex ornatus ornatus	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	ornatus	SUBSPECIES	ACCEPTED	2019-01-09T00:00:00Z	50	NORTH_AMERICA	California	2015	5	23	2015-05-23	2021-01-18T07:00:00Z	2021-05-29T00:55:56Z	http://arctos.database.museum/guid/MVZ:Mamm:233137	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	NA	MVZ	sex=male;reproductive data=testes 6 x 4 mm	Santa Barbara County	revised taxonomy	1455547526	en	PhysicalObject	skin; skull; tissue (frozen); skeleton	Christopher J. Conroy	MVZ:Mamm:233137	MVZ	2015-05-23	NA	James L. Patton	http://arctos.database.museum/guid/MVZ:Mamm:233137?seid=3509554	2015-05-23 00:00:00	North America, United States, California, Santa Barbara County	ICZN	23 May 2015	Christopher J. Conroy	not recorded	143	accepted	mouth of Santa Ynez River, Vandenburg AFB	decimal degrees	Mammal specimens	Santa Ynez River, Vandenburg AFB, Santa Barbara Co., CA 34.68805, -120.587933333333	http://arctos.database.museum/guid/MVZ:Mamm:233137?seid=3509554	Collector(s): Christopher J. Conroy	collector number=3110	http://arctos.database.museum/guid/MVZ:Mamm:233137	"[{""scientific_name"":""Sorex ornatus ornatus"",""nature_of_id"":""revised taxonomy"",""accepted_id_fg"":1,""made_date"":""2019-01-09"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""James L. Patton"",""concept_label"":null},{""scientific_name"":""Sorex ornatus californicus"",""nature_of_id"":""features"",""accepted_id_fg"":0,""made_date"":""2015-05-23"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Christopher J. Conroy"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Soricidae, Soricinae, Soricini, Sorex, Otisorex, Sorex ornatus,	28	GPS	NA	NA	NA	NA	NA	1	Former verification status: checked by collector.	3110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
Sorex ornatus ornatus	-117.90758	35.93481	osiic,incomis,inmafu	gbif	1145810476	Sorex ornatus ornatus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:55:56Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	FEMALE	7059216	1	44	359	803	5534	2435935	2436078	7059216	Sorex ornatus ornatus	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	ornatus	SUBSPECIES	ACCEPTED	2014-05-10T00:00:00Z	6	NORTH_AMERICA	California	2014	5	10	2014-05-10	2021-05-11T13:10:00Z	2021-05-29T00:55:56Z	http://arctos.database.museum/guid/MVZ:Mamm:230729	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	NA	MVZ	sex=female;total length=102 mm;tail length=45 mm;hind foot with claw=13 mm;ear from notch=8 mm;weight=4.6 g;reproductive data=nulliparous	Inyo County	features	1145810476	en	PhysicalObject	skull; skin, study; tissue (ethanol); DNA (frozen); tissue (ethanol) sample	James L. Patton	MVZ:Mamm:230729	MVZ	2014-05-10	Former nature_of_id: expert.	James L. Patton	http://arctos.database.museum/guid/MVZ:Mamm:230729?seid=2329658	2014-05-10 00:00:00	North America, United States, California, Inyo County	ICZN	2014-05-10	James L. Patton	not recorded	130	unverified	Little Lake	decimal degrees	Mammal specimens	Little Lake, Inyo Co., California	http://arctos.database.museum/guid/MVZ:Mamm:230729?seid=2329658	Collector(s): James L. Patton	collector number=26334	http://arctos.database.museum/guid/MVZ:Mamm:230729	"[{""scientific_name"":""Sorex ornatus ornatus"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2014-05-10"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""James L. Patton"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Soricidae, Soricinae, Soricini, Sorex, Otisorex, Sorex ornatus,	28	Garmin GPS map 60CSx	NA	NA	NA	NA	NA	1	NA	26334	942	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
Sorex ornatus ornatus	-118.01979	36.32242	osiic,incomis,inmafu	gbif	1145810514	Sorex ornatus ornatus	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:56:06Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	7059216	1	44	359	803	5534	2435935	2436078	7059216	Sorex ornatus ornatus	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	ornatus	SUBSPECIES	ACCEPTED	2014-05-07T00:00:00Z	NA	NORTH_AMERICA	California	2014	5	7	2014-05-07	2021-05-11T13:10:00Z	2021-05-29T00:56:06Z	http://arctos.database.museum/guid/MVZ:Mamm:230724	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	NA	MVZ	sex=male;total length=99 mm;tail length=46 mm;hind foot with claw=13 mm;ear from notch=6 mm;weight=4.6 g;reproductive data=t=3x2 mm	Inyo County	features	1145810514	en	PhysicalObject	skull; skin, study; tissue (ethanol); DNA (frozen); tissue (ethanol) sample	James L. Patton	MVZ:Mamm:230724	MVZ	2014-05-07	Former nature_of_id: expert.	James L. Patton	http://arctos.database.museum/guid/MVZ:Mamm:230724?seid=2329661	2014-05-07 00:00:00	North America, United States, California, Inyo County	ICZN	2014-05-07	James L. Patton	not recorded	127	unverified	Cartago	decimal degrees	Mammal specimens	Cartago, Inyo Co., California	http://arctos.database.museum/guid/MVZ:Mamm:230724?seid=2329661	Collector(s): James L. Patton	collector number=26327	http://arctos.database.museum/guid/MVZ:Mamm:230724	"[{""scientific_name"":""Sorex ornatus ornatus"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2014-05-07"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""James L. Patton"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Soricidae, Soricinae, Soricini, Sorex, Otisorex, Sorex ornatus,	28	Garmin GPSmap 60CSx	NA	NA	NA	NA	NA	1	NA	26327	1099	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
Sorex ornatus Merriam, 1895	-117.302204	33.330547	gass84,gdativ,incomis	gbif	2381410076	Sorex ornatus Merriam, 1895	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48Z	2021-03-30T12:20:16Z	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	2436078	1	44	359	803	5534	2435935	2436078	2436078	Sorex ornatus Merriam, 1895	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	NA	SPECIES	ACCEPTED	NA	NA	NORTH_AMERICA	California	2013	4	21	2013-04-21	2020-11-12T00:00:00Z	2021-03-30T12:20:16Z	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-25528	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	NA	http://grbio.org/cool/4ksk-xsw5	NA	San Diego	NA	2381410076	en	PhysicalObject	complete skeleton	NA	25528	SDNHM	NA	NA	NA	urn:catalog:SDNHM:Mammals:25528	NA	| USA | California | San Diego |  |  |  |	ICZN	4/21/2013	NA	NA	111	requires verification	Fallbrook Naval Weapons Station	NA	Mammals	USA | California | San Diego | Fallbrook Naval Weapons Station	urn:catalog:SDNHM:Mammals:25528	S. Tremor	NA	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Sorex	NA	NA	NATIVE	LC	111	skeleton; plot 11	urn:catalog:SDNHM:Mammals:25528. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
Sorex ornatus californicus Merriam, 1895	-122.25	37.9866	gass84,gdativ,osiic,incomis,inmafu	gbif	2804170313	Sorex ornatus californicus Merriam, 1895	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-05-29T00:51:07Z	2021-05-29T00:56:06Z	257	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	8914225	1	44	359	803	5534	2435935	2436078	7059216	Sorex ornatus ornatus	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	californicus	SUBSPECIES	SYNONYM	2020-04-08T00:00:00Z	100	NORTH_AMERICA	California	2013	4	25	2013-04-25	2021-02-05T02:40:00Z	2021-05-29T00:56:06Z	http://arctos.database.museum/guid/MVZ:Mamm:240019	http://creativecommons.org/publicdomain/zero/1.0/legalcode	59175240-4500-42b9-9e98-42ae299a5e9b	FALSE	WGS84	Mammalia	US	United States of America	NA	MVZ	sex=male;total length=90 mm;tail length=33 mm;hind foot with claw=10 mm;ear from notch=7 mm;unformatted measurements=wt: 5g, dessicated	Contra Costa County	features	2804170313	en	PhysicalObject	skull; tissue (frozen); ectoparasite (70% ethanol); whole organism (formalin-fixed, 70% ethanol)	Christopher J. Conroy	MVZ:Mamm:240019	MVZ	2013-04-25	NA	Christopher J. Conroy	http://arctos.database.museum/guid/MVZ:Mamm:240019?seid=4571808	2020-04-08 00:00:00	North America, United States, California, Contra Costa County	ICZN	25 Apr 2013	Christopher J. Conroy	not recorded	115	unverified	Pinole near Pinole Ridge	decimal degrees	Mammal specimens	Pinole near Pinole Ridge, Contra Costa County, California 37.9866, -122.2500, el. 108 m	http://arctos.database.museum/guid/MVZ:Mamm:240019?seid=4571808	Collector(s): Cheryl B. Barr; W. D. Shepard; Preparator(s): Christopher J. Conroy	preparator number=3295	http://arctos.database.museum/guid/MVZ:Mamm:240019	"[{""scientific_name"":""Sorex ornatus californicus"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2020-04-08"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""Christopher J. Conroy"",""concept_label"":null}]"	A	NA	http://vertnet.org/resources/norms.html	Animalia, Chordata, Mammalia, Soricomorpha, Soricidae, Soricinae, Soricini, Sorex, Otisorex, Sorex ornatus,	28	provided by collector	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
Sorex ornatus Merriam, 1895	-116.6624	33.80446	gass84,gdativ,incomis	gbif	2381409260	Sorex ornatus Merriam, 1895	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48Z	2021-03-30T12:20:16Z	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	2436078	1	44	359	803	5534	2435935	2436078	2436078	Sorex ornatus Merriam, 1895	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	NA	SPECIES	ACCEPTED	NA	NA	NORTH_AMERICA	California	2013	7	17	2013-07-17	2020-11-12T00:00:00Z	2021-03-30T12:20:16Z	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-25632	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	NA	http://grbio.org/cool/4ksk-xsw5	NA	Riverside	NA	2381409260	en	PhysicalObject	skin	NA	25632	SDNHM	NA	NA	NA	urn:catalog:SDNHM:Mammals:25632	NA	| USA | California | Riverside |  |  |  |	ICZN	7/17/2013	NA	NA	198	requires verification	San Jacinto Mts., Round Valley	NA	Mammals	USA | California | Riverside | San Jacinto Mts., Round Valley	urn:catalog:SDNHM:Mammals:25632	T. Harper/S. Tremor	RV 22	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Sorex	NA	NA	NATIVE	LC	198	NA	urn:catalog:SDNHM:Mammals:25632. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
Sorex ornatus Merriam, 1895	-116.66149	33.80337	gass84,gdativ,incomis	gbif	2381410741	Sorex ornatus Merriam, 1895	a9ae9ece-e753-4fb9-8595-a37d0f5aa59c	8a471700-4ce8-11db-b80e-b8a03c50a862	a957a663-2f17-415f-b1c8-5cf6398df8ed	US	DWC_ARCHIVE	2021-03-26T02:13:48Z	2021-03-30T12:20:16Z	56	2053a639-84c3-4be5-b8bc-96b6d88a976c	PRESERVED_SPECIMEN	PRESENT	MALE	2436078	1	44	359	803	5534	2435935	2436078	2436078	Sorex ornatus Merriam, 1895	Animalia	Chordata	Soricomorpha	Soricidae	Sorex	Sorex ornatus	Sorex	ornatus	NA	SPECIES	ACCEPTED	NA	NA	NORTH_AMERICA	California	2013	7	16	2013-07-16	2020-11-12T00:00:00Z	2021-03-30T12:20:16Z	http://portal.vertnet.org/o/sdnhm/mammals?id=urn-catalog-sdnhm-mammals-25359	http://creativecommons.org/publicdomain/zero/1.0/legalcode	52ed0034-fd58-4f17-95e5-d565fc9f068e	FALSE	WGS84	Mammalia	US	United States of America	NA	http://grbio.org/cool/4ksk-xsw5	NA	Riverside	NA	2381410741	en	PhysicalObject	skin & skull	NA	25359	SDNHM	NA	NA	NA	urn:catalog:SDNHM:Mammals:25359	NA	| USA | California | Riverside |  |  |  |	ICZN	7/16/2013	NA	NA	197	requires verification	San Jacinto Mts., Round Valley	NA	Mammals	USA | California | Riverside | San Jacinto Mts., Round Valley	urn:catalog:SDNHM:Mammals:25359	S. Tremor	RV 21	NA	NA	NA	NA	http://vertnet.org/resources/norms.html	Sorex	NA	NA	NATIVE	LC	197	skin & skull	urn:catalog:SDNHM:Mammals:25359. http://ipt.vertnet.org:8080/ipt/manage/resource.do?r=sdnhm-mammals.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10
