UCIAMS_Number	Original_sample_name	Museum_Number	Other_ID	SampleType	d13C_permil	d13C_error	fraction_Modern	fraction_Modern_error	D14C_permil	D14C_error	14C_age_BP	14C_age_error	Original_data_sheet	Sample_Notes	UseSample	Other_Notes
191095	P23-5233 Dep1 B-2 L2 sylvilagus	LACMP23-5233		mammal	-21.3	0.1	0.0117	0.0009	-988.3	0.9	35750	610	FoxBloisJul16_17.xls		Y	
191096	P23-18270 Dep1 A-2 L5 sylvilagus	LACMP23-18270		mammal	-22.5	0.1	0.0121	0.0009	-987.9	0.9	35440	580	FoxBloisJul16_17.xls		Y	
191097	P23-22009 Dep1 A-2 L4 sylvilagus	LACMP23-22009		mammal	-22.4	0.1	0.0126	0.0009	-987.4	0.9	35150	580	FoxBloisJul16_17.xls		Y	Specimen is not listed in the master mammal spreadsheet!
191098	P23-25476 Dep1 A-2 L4 sylvilagus	LACMP23-25476		mammal	-21.4	0.1	0.0112	0.0009	-988.8	0.9	36050	630	FoxBloisJul16_17.xls		Y	
191099	P23-28903 Dep1 A-1 L7 sylvilagus	LACMP23-28903		mammal	-21.1	0.1	0.0148	0.0009	-985.2	0.9	33830	480	FoxBloisJul16_17.xls		Y	
191100	P23-30238 Dep1 B-1 L2 sylvilagus	LACMP23-30238		mammal	-21.5	0.1	0.0116	0.0009	-988.4	0.9	35780	600	FoxBloisJul16_17.xls		Y	Specimen is not listed in the master mammal spreadsheet!
191101	P23-31269 Dep1 B-4 L3 sylvilagus	LACMP23-31269		mammal	-20.5	0.1	0.0032	0.0009	-996.8	0.9	46200	2200	FoxBloisJul16_17.xls		Y	
191102	P23-31423 Dep1 B-2 L2 sylvilagus	LACMP23-31423		mammal	-21.3	0.1	0.0122	0.0009	-987.8	0.9	35420	580	FoxBloisJul16_17.xls		Y	
191103	P23-31033 Dep14 D-2 L4 sylvilagus .32mgC	LACMP23-31033		mammal	-21.7	0.1	-0.0011	-0.0013	-1001.1	-1.3	>47800		FoxBloisJul16_17.xls	"14C/C ratios for the P23-31033, P23-31036, P23-31056 samples were within 2 standard deviations of zero after background subtraction. The corresponding radiocarbon ages are quoted as 2 sigma lower limits."	Y	
191104	P23-31036 Dep14 C-2 L7 sylvilagus	LACMP23-31036		mammal	-22.3	0.1	0.0002	0.0009	-999.8	0.9	>49900		FoxBloisJul16_17.xls	"14C/C ratios for the P23-31033, P23-31036, P23-31056 samples were within 2 standard deviations of zero after background subtraction. The corresponding radiocarbon ages are quoted as 2 sigma lower limits."	Y	
