Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats														
	NSF-19-01	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	califoricus	lower lt m1		2/5/2019	y														
	NSF-19-02	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	califoricus	lower rt m1		2/5/2019	y														
	NSF-19-03	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	califoricus	lower lt m1		2/5/2019	y														
	NSF-19-04	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	califoricus	lower rt m1		2/5/2019	y														
	NSF-19-05	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	califoricus	lower lt m1	juv	2/5/2019	y														
	NSF-19-06	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m2			y														
	NSF-19-07	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2			y														
	NSF-19-08	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y														
	NSF-19-09	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3			y														
	NSF-19-10	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1			y														
	NSF-19-11	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	?Microtus	sp	lower rt m1 frag	strange re-entrant		y														
	NSF-19-12	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y														
	NSF-19-13	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1 frag			y														
	NSF-19-14	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2			y														
	NSF-19-15	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1 frag			y														
	NSF-19-16	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2	juv?		y														
	NSF-19-17	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3			y														
	NSF-19-18	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m3			y														
	NSF-19-19	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	?Microtus	sp	molar frag			y														
	NSF-19-20	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y														
	NSF-19-21	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y														
	NSF-19-22	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt dentary	no teeth		y														
	NSF-19-23	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3 frag			y														
	NSF-19-24	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag			y														
	NSF-19-25	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt P2			y														
	NSF-19-26	A3/L3	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	lower lt m1/m2			y														
	NSF-19-27	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt P2			y														
	NSF-19-28	A3/L3	Mammalia	Rodentia	Geomyidae	Thomomyinae	Thomomys	sp	lower (lt?) m1/m2			y														
	NSF-19-29	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	lower lt m1/m2			y														
	NSF-19-30	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	anteroconid grade 2; large - compariable in size w/ P. californicus	7/29/2019	y														
	NSF-19-31	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	lower rt m1	"small anteroconid grade 0, intermediate in size b/w P_man and Reithro"	7/29/2019	y														
	NSF-19-32	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	?maniculatus	upper rt M1	small anteroloph	7/29/2019	y														
	NSF-19-33	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	?Peromyscus	sp	upper rt M1	weathered	7/29/2019	y														
	NSF-19-34	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		7/29/2019	y														
	NSF-19-35	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	?maniculatus	upper lt M1	moderate anteroloph	7/29/2019	y														
	NSF-19-36	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m2		7/29/2019	y														
	NSF-19-37	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	?maniculatus	upper rt M1	moderate anteroloph	7/29/2019	y														
	NSF-19-38	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	grade 0	7/29/2019	y														
	NSF-19-39	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0	7/29/2019	y														
	NSF-19-40	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae			upper rt M2	"worn, broken in two frags"	7/29/2019	y														
	NSF-19-41	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y														
	NSF-19-42	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y														
	NSF-19-43	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y														
	NSF-19-44	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y														
	NSF-19-45	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y														
	NSF-19-46	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y														
	NSF-19-47	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-48	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y														
	NSF-19-49	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lower rt p3	subadult?	8/13/2019	y														
	NSF-19-50	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y														
	NSF-19-51	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y														
	NSF-19-52	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper rt tooth			y														
	NSF-19-53	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth			y														
	NSF-19-54	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y														
	NSF-19-55	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y														
	NSF-19-56	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper lt tooth			y														
	NSF-19-57	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y														
	NSF-19-58	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y														
	NSF-19-59	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y														
	NSF-19-60	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y														
	NSF-19-61	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth			y														
	NSF-19-62	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-63	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y														
	NSF-19-64	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-65	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower p3 frag			y														
	NSF-19-66	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y														
	NSF-19-67	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth			y														
	NSF-19-68	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-69	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower m3			y														
	NSF-19-70	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth 			y														
	NSF-19-71	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-72	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag	waterworn		y														
	NSF-19-73	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y														
	NSF-19-74	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y														
	NSF-19-75	A3/L3	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y														
	NSF-19-76	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Neotoma	sp	upper rt M3			y														
