Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats
LACMHC-11534		Pit 10 E-8 9ft	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt dentary w/ p3-m2			
LACMHC-11587		Pit 10 E-8 9ft	Mammalia	Rodentia	Sciuridae	Xerinae	?Otosperomphilus	beecheyi				
LACMHC-130857		Bliss 29	Mammalia	Rodentia	Sciuridae	Xerinae	?Otosperomphilus	beecheyi	rt humerus	"no distal epiph, juv"		
LACMHC-142763		Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt anterior dentary w/ p3-m3			
LACMHC-142764		Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt anterior dentary w/ p3-m1			
LACMHC-142766		Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt partial dentary w/ p3-m1			
LACMHC-142767		No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus	audubonii	lt dentary w/ p3-m2			
LACMHC-142772		No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	bachmani	lt dentary w/ p3-m2	juv		
LACMHC-142773		Pit A	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt anterior dentary w/ p3-p4			
LACMHC-142778		Pit A	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii	rt dentary w/ p3-m2			
LACMHC-142779		Pit A	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	bachmani	rt dentary w/ p3-m2			
LACMV-2173		Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	audubonii				
LACMV-4516		No Data	Mammalia	Rodentia	Sciuridae	Xerinae	?Otosperomphilus	beecheyi	rt femur	"no distal epiph, juv"		
LACMV-4520		No Data	Mammalia	Rodentia	Sciuridae	Xerinae	?Otosperomphilus	beecheyi	rt femur	"no distal epiph, juv"		
LACMV-4524		No Data	Mammalia	Rodentia	Sciuridae	Xerinae	?Otosperomphilus	beecheyi	rt proximal femur	juv		
LACMV-4531		Pit 16	Mammalia	Rodentia	Sciuridae	Xerinae	?Otosperomphilus	beecheyi	lt femur			
LACMV-2174		Pit 16	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	bachmani	rt dentary w/ p3-m2			
LACMHC-11584		Pit 10	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beechyi	rt dentary	juv		
LACMHC-11541		Pit 10	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lt distal humerus			
V-4514		No Data	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beechyi	rt femur	juv		
LACMHC-143517		No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	rt distal humerus	large		
V-2751		No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-2737		No Data	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-2644		Pit 4	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-2645		Pit 4	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-2641		Pit 4	Mammalia	Lagomorpha	Leporidae		Sylvilagus 	sp	lt distal humerus	juv?		
V-4509		Pit 10	Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus	beecheyi	rt tibia	juv/subadult		
