Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats
P23-36896			Mammalia	Lagomorpha	Leporidae		Sylvilagus sp	sp	lt dentary frag w/ m1-m2			
P23-36893			Mammalia	Lagomorpha	Leporidae		Sylvilagus sp	sp	lt dentary frag w/ p4-m2			
P23-35543			Mammalia	Lagomorpha	Leporidae		Sylvilagus sp	sp	lt dentary frag w/ p4-m2			
P23-37699			Mammalia	Lagomorpha	Leporidae		Sylvilagus sp	sp	lt dentary frag w/ p4-m1			
P23-37612			Mammalia	Lagomorpha	Leporidae		Sylvilagus sp	sp	lt dentary w/ p4-m2	juv?		
P23-36989			Mammalia	Lagomorpha	Leporidae		Sylvilagus sp	sp	lt anterior dentary w/p4			
P23-37097			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	proximal lt femur			
P23-36910			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	rt dentary	juv?		
P23-37651			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	rt posterior dentary			
P23-36859			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	lt dentary	juv?		
P23-36907			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	lt dentary	juv?		
P23-36572			Mammalia	Rodentia	Sciuridae	Xerinae	?Otospermophilus 	beecheyi	lt femur			
