RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References	Notes	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-084	Juniperus californica	2	twigs	Previously identified as Juniperus californica (7/3/19)		Calscape	Plant material accidentally cross-contaminated. 	When starting to re-label this loan with more formal numbers, start here with "JG-084" -KG
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-085	Cornus sericea	1	seed	Previously identified as Apiaceae (7/3/19)		Bekker pg. 32	Plant material accidentally cross-contaminated. 	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-086	Rocks	3	rocks			rocks	Plant material accidentally cross-contaminated. 	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-087	Juniperus sp.	4	seed			Barkley pg. 126, Calflora	Plant material accidentally cross-contaminated. 	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-088	Charcoal 	1	charcoal			charcoal	Plant material accidentally cross-contaminated. 	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-089	Juniperus sp.	5	wood			Calscape	Plant material accidentally cross-contaminated. 	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-090	Juniperus sp.	44	seeds			Barkley pg. 126, Calflora	whole seeds	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-091	Lathyrus vestitus	1	seed	Previously identified as Lathyrus sp. (7/3/19)		Bekker pg. 138, Santa Ana Botanic Garden, Calflora, seed sample		
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-092	Juniperus sp.	35	seed fragments			Barkley pg. 126, Calflora	 fragments	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-093	Juniperus californica	21	twigs	Previously identified as Juniperus sp. (7/3/19)		Calscape		
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-094	Pinus jefferyi	1	seed	Previously identified as Lamiaceae (7/3/19)		Bekker pg. 159	spots, attachment	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-095	Platanus racemosa	6	seed			USDA, seed samples		
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-096	Stachys albens	2	seeds			Seed sample, Santa Ana Botanic Garden	spots, size 	
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-097	Juniperus californica	2	seeds			Jesse		
P23 35984	Box 1 grid A-1 level 1	heated to 80C biodiesel & cold soaked npropyl bromide	35984_JG-098	Pinus radiata	1	seed	Previously identified as Aphanes sp. (7/3/19)		Bekker pg. 241		
