RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	References	New Museum catalog # to be used
P23 39523	Box 13 grid A-3 level 1 		JG-971	Juniperus californica 	14	seed		Jesse	
P23 39523	Box 13 grid A-3 level 1 		JG-972	Juniperus communis	55	seed		Seed samples	
P23 39523	Box 13 grid A-3 level 1 		JG-973	Juniperus californica 	2	twig		Calscape	
P23 39523	Box 13 grid A-3 level 1 		JG-974	Platanus racemosa 	10	seed		Seed samples	
P23 39523	Box 13 grid A-3 level 1 		JG-975	Solidago canandensis	5	seed		Seed samples	
P23 39523	Box 13 grid A-3 level 1 		JG-976	Alopecurus aequalis	1	glume		(http://timedoesnotexist.org/Grasses%20of%20Oregon.pdf), calflora 	
P23 39523	Box 13 grid A-3 level 1 		JG-977	Xanthium strumarium 	1	seed		Seed samples	
P23 39523	Box 13 grid A-3 level 1 		JG-978	Juniperus californica 	1	bud		Calscape	
P23 39523	Box 13 grid A-3 level 1 		JG-979	Bone	4	bone		Bone	
P23 39523	Box 13 grid A-3 level 2		JG-980	Charcoal	1	charcoal		Charcoal	
P23 39523	Box 13 grid A-3 level 1 		JG-981	Hesperocyparis macrocarpa	1	seed		Calflora, Calscape	
P23 39523	Box 13 grid A-3 level 1 		JG-982	Heteromeles arbutifolia 	2	seed		Seed samples, Santa Ana Botanic Garden	
P23 39524	Box 13 grid A-3 level 2		JG-983	Juniperus californica 	55	seed		Jesse	
P23 39524	Box 13 grid A-3 level 2		JG-984	Juniperus communis	499	seed		Seed samples	
P23 39524	Box 13 grid A-3 level 2		JG-985	Bone	19	bone		bone	
P23 39524	Box 13 grid A-3 level 2		JG-986	Juniperus californica (charcoal/ashpalt?)	1	twig 		Calscape	
P23 39524	Box 13 grid A-3 level 2		JG-987	Juniperus californica	7	twig 		Calscape	
P23 39524	Box 13 grid A-3 level 2		JG-988	Platanus racemosa 	4	seed		Seed samples	
P23 39524	Box 13 grid A-3 level 2		JG-989	Xanthium strumarium 	3	seed fragments		Seed samples	
P23 39524	Box 13 grid A-3 level 2		JG-990	Juniperus californica 	5	bud		Calscape	
P23 39524	Box 13 grid A-3 level 2		JG-991	Purshia tridentata 	1	seed		Santa Ana Botanic Garden	
P23 39524	Box 13 grid A-3 level 2		JG-992	Salix lasiolepis	2	seed		Seed samples	
P23 39524	Box 13 grid A-3 level 2		JG-993	Quercus dumosa 	1	acorn cap	slightly tubercled/warty scales	(http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40582)	
P23 39524	Box 13 grid A-3 level 2		JG-994	Sisyrinchium bellum 	1	seed		Seed samples	
P23 39525	Box 13 grid A-3 level 3		JG-995	Juniperus californica 	68	seed		Jesse	
P23 39525	Box 13 grid A-3 level 3		JG-996	Juniperus communis 	99	seed		Seed samples	
P23 39525	Box 13 grid A-3 level 3		JG-997	Arctostaphylos viscida	0.5	seed 	small indentations 	Santa Ana Botanic Garden, Calflora, Calscape	
P23 39525	Box 13 grid A-3 level 3		JG-998	Salvia apiana 	1	seed		Santa Ana Botanic Garden	
P23 39525	Box 13 grid A-3 level 3		JG-999	Ambrosia eriocentra 	2	seed		(http://southwestdesertflora.com/WebsiteFolders/All_Species/Asteraceae/Ambrosia_eriocentra.html), seed samples	
P23 39525	Box 13 grid A-3 level 3		JG-1000	Ceanothus greggii	1	seed		Seed samples, USDA	
P23 39525	Box 13 grid A-3 level 3		JG-1001	Heteromeles arbutifolia 	1	seed		Seed samples	
P23 39525	Box 13 grid A-3 level 3		JG-1002	Viola douglasii	1	seed		Seed samples, Santa Ana Botanic Garden	
P23 39525	Box 13 grid A-3 level 3		JG-1003	Bone	33	Bone		Bone	
P23 39525	Box 13 grid A-3 level 3		JG-1004	Sisyrinchium bellum 	1	seed		Seed samples	
P23 39525	Box 13 grid A-3 level 3		JG-1005	Juniperus californica 	1	twig		Calscape	
P23 39525	Box 13 grid A-3 level 3		JG-1006	Juniperus californica (charcoal/ashpalt?)	4	twig 		Calscape	
P23 39526	Box 13 grid A-3 level 4		JG-1007	Juniperus californica 	34	seed		Jesse	
P23 39526	Box 13 grid A-3 level 4		JG-1008	Juniperus communis	3	seed		Seed samples	
P23 39526	Box 13 grid A-3 level 4		JG-1009	Quercus agrifolia	1	acorn cap 	pointed overapping flat scales	(http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40582)	
P23 39526	Box 13 grid A-3 level 4		JG-1010	Berberis aquifolium 	0.5	seed		Seed samples, Santa Ana Botanic Garden	
P23 39526	Box 13 grid A-3 level 4		JG-1011	Potamogeton nodosus	1	seed		Seed samples	
P23 39526	Box 13 grid A-3 level 4		JG-1012	Platanus racemosa 	1	seed		Seed samples	
P23 39526	Box 13 grid A-3 level 4		JG-1013	Bone	20	bone		Bone	
P23 39526	Box 13 grid A-3 level 4		JG-1014	Quercus lobata 	1	acorn cap	Same as JG-2	(https://ucanr.edu/sites/oak_range/Californias_Rangeland_Oak_Species/Valley_Oak/)	
P23 39526	Box 13 grid A-3 level 4		JG-1015	Arctostaphylos glauca 	2	seed		Seed samples, (https://www.flickr.com/photos/aking1/5909355550)	
P23 39526	Box 13 grid A-3 level 4		JG-1016	Sisyrinchium bellum 	0.5	seed		Seed samples	
P23 39526	Box 13 grid A-3 level 4		JG-1017	Berula erecta	0.5	seed		(https://dzn.eldoc.ub.rug.nl/?page=pict&item=588)	
P23 39526	Box 13 grid A-3 level 4		JG-1018	Aquilegia formosa	1	seed		(https://wikis.evergreen.edu/pugetprairieplants/index.php/Aquilegia_formosa)	
P23 39527	Box 13 grid B-2 level 1		JG-1019	Juniperus californica 	17	seed		Jesse	
P23 39527	Box 13 grid B-2 level 1		JG-1020	Juniperus communis 	80	seed		Seed samples	
P23 39527	Box 13 grid B-2 level 1		JG-1021	Juniperus californica 	6	twig		Calscape	
P23 39527	Box 13 grid B-2 level 1		JG-1022	Juniperus californica 	1	bud		Calscape	
P23 39527	Box 13 grid A-3 level 1 		JG-1023	Juniperus californica (charcoal/ashpalt?)	1	twig		Calscape	
P23 39527	Box 13 grid B-2 level 1		JG-1024	Xanthium strumarium 	1	seed fragment		Seed samples	
P23 39527	Box 13 grid B-2 level 1		JG-1025	Platanus racemosa 	3	seed		Seed samples	
P23 39527	Box 13 grid B-2 level 1		JG-1026	Bone	4	Bone		Bone	
P23 39527	Box 13 grid A-3 level 1 		JG-1027	Berberis aquifolium 	1	seed		Seed samples	
P23 39527	Box 13 grid B-2 level 1		JG-1028	Solidago canandensis	1	seed		Seed samples	
P23 39527	Box 13 grid B-2 level 1		JG-1029	Quercus dumosa 	1	immature acorn and seed		Calscape	
P23 39527	Box 13 grid B-2 level 1		JG-1030	Cyperaceae	1	seed		Seed samples	
P23 39528	Box 13 grid B-2 level 2		JG-1031	Juniperus californica 	38	seed		Jesse	
P23 39528	Box 13 grid B-2 level 2		JG-1032	Juniperus communis 	102	seed		Seed samples	
P23 39528	Box 13 grid B-2 level 2		JG-1033	Solidago canandensis	3	seed		Santa Ana Botanic Garden	
P23 39528	Box 13 grid B-2 level 2		JG-1034	Platanus racemosa 	5	seed		Seed samples	
P23 39528	Box 13 grid B-2 level 2		JG-1035	Juniperus californica	12	twig		Calscape	
P23 39528	Box 13 grid B-2 level 2		JG-1036	Juniperus californica	1	bud		Calscape	
P23 39528	Box 13 grid B-2 level 2		JG-1037	Bone	7	bone		Bone	
P23 39528	Box 13 grid B-2 level 2		JG-1038	Madia exigua 	1	leaf		Calscape	
P23 39528	Box 13 grid B-2 level 2		JG-1039	Madia exigua 	1	seed		(http://westerncascades.com/photos/seeds/seeds-i-o/)	
P23 39528	Box 13 grid B-2 level 2		JG-1040	Berula erecta	0.5	seed		(https://dzn.eldoc.ub.rug.nl/?page=pict&item=588)	
P23 39528	Box 13 grid B-2 level 2		JG-1041	Persicaria lapathifolia	3	seed	Same as JG-448	Seed samples	
P23 39528	Box 13 grid B-2 level 2		JG-1042	Galium andrewsii	1	seed		Calscape, seed samples	
P23 39529	Box 13 grid B-2 level 3		JG-1043	Juniperus californica 	17	seed		Jesse	
P23 39529	Box 13 grid B-2 level 3		JG-1044	Juniperus communis	54	seed		Santa Ana Botanic Garden	
P23 39529	Box 13 grid B-2 level 3		JG-1045	Bone	18	bone		Bone	
P23 39529	Box 13 grid B-2 level 3		JG-1046	Juniperus californica 	3	bud		Calscape	
P23 39529	Box 13 grid B-2 level 3		JG-1047	Thysanocarpus laciniatus	1	seed	Same as JG-538	Santa Ana Botanic Garden	
P23 39529	Box 13 grid B-2 level 3		JG-1048	Platanus racemosa 	2	seed		Seed samples	
P23 39529	Box 13 grid B-2 level 3		JG-1049	Juniperus californica (charcoal/ashpalt?)	1	twig		Calscape	
P23 39529	Box 13 grid B-2 level 3		JG-1050	Potamogeton nodosus	1	seed		Seed samples	
P23 39529	Box 13 grid B-2 level 3		JG-1051	Salvia apiana 	1	seed		Santa Ana Botanic Garden	
P23 39529	Box 13 grid B-2 level 3		JG-1052	Persicaria lapathifolia	4	seed		Seed samples	
P23 39529	Box 13 grid B-2 level 3		JG-1053	Quercus lobata 	4	immature acorns		Calscape	
P23 39529	Box 13 grid B-2 level 3		JG-1054	Charcoal	1	charcoal		Charcoal	
P23 39530	Box 13 grid B-2 level 4		JG-1055	Juniperus californica 	29	seed		Jesse	
P23 39530	Box 13 grid B-2 level 4		JG-1056	Juniperus communis	98	seed		Seed samples	
