ABF updated museum database as of 3.5.2020 If you need to make additional changes please contact me with specifics									
RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-971	Juniperus californica 	14	seed		LACMP23-41944	Jesse
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-972	Juniperus sp.	55	seed		LACMP23-41945	Seed samples
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-973	Juniperus californica 	2	twig		LACMP23-41946	Calscape
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-974	Platanus racemosa 	10	seed		LACMP23-41947	Seed samples
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-975	Solidago canadensis	5	seed		LACMP23-41948	Seed samples
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-976	Alopecurus aequalis	1	glume		LACMP23-41949	(http://timedoesnotexist.org/Grasses%20of%20Oregon.pdf), calflora 
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-977	Xanthium strumarium 	1	seed		LACMP23-41950	Seed samples
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-978	Juniperus californica 	1	bud		LACMP23-41951	Calscape
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-979	Cornus sericea 	1	seed		LACMP23-41952	Seed samples
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-980	Charcoal	1	charcoal		LACMP23-41953	Charcoal
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-981	Hesperocyparis macrocarpa	1	seed		LACMP23-41954	Calflora, Calscape
P23 39523	Box 13 grid A-3 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-982	Heteromeles arbutifolia 	1	seed		LACMP23-41955	Seed samples, Santa Ana Botanic Garden
P23 39524	Box 13 grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-983	Juniperus californica 	55	seed		LACMP23-41956	Jesse
P23 39524	Box 13 grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-984	Juniperus sp.	499	seed		LACMP23-41957	Seed samples
P23 39524	Box 13 grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-985	Bone	19	bone		not cataloging now	bone
