RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements 	New Museum catalog # to be used	References	Notes
P23 37199	Box 14 grid B-2 level 2 	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-436	Juniperus sp.	55	scale		LACMP23-39184	Calscape	
P23 37199	Box 14 grid B-2 level 3	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-437	Arctostaphylos glauca 	6	seed	Previously identified as Arctostaphylos sp. (7/10/19)	LACMP23-39185	seed samples, Santa Ana Botanic Garden	
P23 37199	Box 14 grid B-2 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-438	Quercus dumosa	12	oak cap	Previously identified as Quercus sp. (7/10/19)	LACMP23-39186	Calscape	Quercus dumosa: slightly tubercled/warty scales
P23 37199	Box 14 grid B-2 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-439	Platanus racemosa 	4	seed		LACMP23-39187	seed samples, Santa Ana Botanic Garden	
P23 37199	Box 14 grid B-2 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-440	Juniperus californica 	98	seed		LACMP23-39188	Jesse	
P23 37199	Box 14 grid B-2 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-441	Juniperus sp.	40	seed		LACMP23-39189	Santa Ana Botanic Garden	
P23 37199	Box 14 grid B-2 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-442	Potamogeton nodosus	0.5	seed	Previously identified as Quercus sp. (7/10/19)	LACMP23-39190	(https://tmi.laccore.umn.edu/uniqueIdentification/show/136)	
P23 37199	Box 14 grid B-2 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-443	Cyperaceae	1	seed		LACMP23-39191	Bekker pg. 114, seed samples	
P23 37199	Box 14 grid B-2 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-444	Charcoal 	5	charcoal 		LACMP23-39192	charcoal	
P23 37199	Box 14 grid B-2 level 2	heated in biodiesel B100 (80 C) and cold soaked n-propyl bromide	JG-445	Chaenactis douglasii	1	seed	Previously identified as Asteraceae (7/10/19)	LACMP23-39193	Santa Ana Botanic Garden	
