	A-3	B-2	C-2	C-3	B-3	C-2	A-3	A-2	B-3	C-2	B-2	C-3	A-2	B-2	C-2	Include
Tracers/Exotics	41	43	36	29	65	57	35	23	11	19	79	18	18	17	22	tracer
Pinus Undif.	15	11	12	14	18	3	6	11	36	17	18	7	2	5	5	yes
Pinus subg. Pinus		1	2													yes
Abies sp.	2	1	3	1			1	1						3	1	yes
Picea sp.	2	6	4	1	6	1		1	3	1	6	5	2	3	3	yes
Cupressaceae	8	1	10	1	4	2		3	7	10	3	3		3	5	yes
Alnus sp.	6	5	1	2	5	4	11	15	1	1	4		3	3	3	yes
Betula sp.	2	12	4	5	7	5	2	4	4	1	4	2		2	1	yes
Salix sp.	3	3	1		2											yes
Populus sp.																yes
Ericaceae	3	4		5	2	3	10	2	1	2				2	1	yes
Rosaceae (Dryas-type)		5			2				1					1		yes
Fabaceae																yes
Rhamnaceae			1	2	1	2			1					1	1	yes
Onagraceae		4	1	1	1		1			1					1	yes
Convolvulaceae			2	1	4					2	1			1	8	yes
Papaveraceae	1	6	1											8	5	yes
Berberidaceae																yes
Caryophyllaceae																yes
Saxifragaceae																yes
Poaceae	102	43	33	51	65	29	35	89	56	26	67	33	180	52	61	yes
Cyperaceae	30	5	10	9	21	7	16	47	24	9	32	10	62	20	13	yes
Ranunculaceae - Thalictrum-type	10	69	66	70	39	59	66	37	91	153	34	65	9	68	76	yes
Artemisia sp.	77	19	20	44	13	13	29	39	41	39	22	38	44	31	23	yes
Tubiflora-type (high spine Aster)	48	17	39	16	17	31	16	9		6	11	16	9	8	10	yes
Liguliflorae-type (lettuce type)	2	1	3			1						1			4	yes
Ambrosia-type (low spine Aster)	36	49	78	52	58	61	44	43	17	38	64	75	33	78	77	yes
Polygonaceae 	6	15	19	29	13	24	22	9	11	32	1	30		17	15	yes
Chenopodiaceae	34	76	49	70	77	113	91	54	77	58	99	80	28	51	52	yes
Plantago																yes
Yucca sp.?																yes
Agavaceae											1					yes
Cactaceae																yes
Brassicaceae																yes
Ephedraceae?																yes
Apiaceae																yes
Cucurbitaceae																yes
polyad grain (Fabaceae?)					1											yes
Euphorbiaceae 																yes
Unknown/Crumpled	5	4	2	7	2	5	1			2	5					yes
Equisetaceae																no
Typha sp. 							1									no
Potamogeton sp. 									22	4						no
Trilete spore																no
Pteridaceae	2															no
Ophioglossaceae?								1			4				1	no
Diporate spore																no
large reticulate spore																no
monolete																no
Moss spore (Dicranum-like)	59	111	48	127	23	66	55	41	53	64	15	28	6	117	112	no
psilate grain with exit papilla - could be fungi?																no
inaperturate spore							8									no
