	E-3	D-1	B-3	D-3	D-4	B-2	A-2	C-1	C-2	A-3	A-1	B-1	C-2	B-2	D-2	Include
Tracers/Exotics	130	150	157	143	82	96	67	146	98	111	257	95	55	14	16	tracer
Pinus Undif.	64	83	68	87	56	59	60	53	75	29	45	37	28	33	41	yes
Pinus subg. Pinus				3					1							yes
Abies sp.	2	2	1	8	2	5	1	3	5	3	6	1		3	3	yes
Cupressaceae	24	41	25	29	31	27	22	51	31	24	44	29	28	51	69	yes
Alnus sp.	3	6	6	4	2	2	8	2	6	16	10	19	14	14	14	yes
Betula sp.	3		2	4	7	4	9	3			7	4	4	5	2	yes
Salix sp.			7	2	4	1			3	1	2	4		6	8	yes
Fagaceae															1	yes
Ericaceae	22	22	7	15	4	8	6		1	16	1	11	12	4	3	yes
Rosaceae (Dryas-type)	2	2	1	2	4	3	4	1	2	1		2	2	5	2	yes
Fabaceae	2	1		2	3	4	2	1		5	2		3	2	1	yes
Onagraceae	10	16		4	7	1	1	7	4	6	13	9	6	3	8	yes
Convolvulaceae						2	2									yes
Berberidaceae			5					1	2	4	1				3	yes
Caryophyllaceae					7	2					5					yes
Poaceae	15	11	17	16	17	13	20	12	10	13	12	19	21	17	33	yes
Cyperaceae	10	3	26	8	19	10	18	19	23	20	10	24	47	74	44	yes
Papaveraceae					1			1			8	8		1		yes
Ranunculaceae	10	2		10	9	8	12	4	13	4	20	23	9	5	3	yes
Plantago											4					yes
Artemisia sp.	43	45	33	43	41	34	55	27	21	17	12	37	41	25	41	yes
Tubiflorae-type (high spine Aster)	23	14	66	26	26	27	16	20	29	17	29	9	30	29	8	yes
Liguliflorae-type (lettuce type)	6	5	3		2	9		8	5	7	11	2	6	5		yes
Ambrosia-type (low spine Aster)	55	53	52	47	57	43	46	43	32	46	64	31	43	31	35	yes
Polygonaceae 	36	32	20	5	34	57	34	32	36	48	48	12	11	6	2	yes
Chenopodiaceae	34	29	16	48	38	36	39	87	70	72	59	70	67	35	37	yes
Sarcobatus sp. 							1			2						yes
Yucca sp.?							1									yes
Cactaceae					1			2								yes
Brassicaceae	4	5		1		3	5						5			yes
Unknown	1	3	2	1	2	5	1			1	3	2				yes
Equisetaceae	11		2	6								2	2		1	no
Typha sp. 	12	6	2	6	4	8	8	5	3	3	1	2	7	2	4	no
Potamogeton sp. 																no
Pediastrum sp. ?			3			1							7	3		no
polyad type spore					5	3							2			no
inaperturate spore										1	8		1			no
