	A-3	A-2	B-3	A-3	B-3	A-1	B-2	A-3	B-3	B-2	A-3	A-2	A-2	B-2	B-2	Include
Tracers/Exotics	58	11	26	30	26	32	39	20	64	13	35	70	69	11	68	tracer
Pinus Undif.	9	10	10	15	13	20	25	20	20	19	12	42	16	22	27	yes
Pinus subg. Pinus																yes
Abies sp.		1	2			6	2				2	2		4		yes
Picea sp.			2	4	3	11	2	5							2	yes
Cupressaceae	1	5	7	1	5	12	8	5	8	2	5	8	8	18	6	yes
Alnus sp.	3	7	11	2		6		5	2	6	3	13	12	39	8	yes
Betula sp.	1		3	4	7	11	10	11	1	2	2	6	7	18	5	yes
Salix sp.	2	4	1	2		10	4	8	6	2	2	5		2	2	yes
Populus sp.															9	yes
Ericaceae	3		1	3	1	3			2	5	2	6	1	35	2	yes
Rosaceae (Dryas-type)	1	3	6	2	3	1	4	6	2		1	2	4	3	1	yes
Fabaceae												1	3			yes
Rhamnaceae	2		2	3		4	3	4		2	4			3	5	yes
Onagraceae	1		1	1		3	12	5			1	1		1	3	yes
Convolvulaceae	3	1	2		1	7	6	3	2	6					4	yes
Papaveraceae	4	3		4		2		1		1	1	3				yes
Berberidaceae																yes
Caryophyllaceae													4		1	yes
Saxifragaceae							1									yes
Poaceae	15	26	41	20	54	28	21	24	35	19	41	22	23	56	20	yes
Cyperaceae	15	15	23	9	28	14	16	23	40	17	51	26	23	42	19	yes
Ranunculaceae - Thalictrum-type	36	65	37	59	34	46	40	38	19	54	48	51	12	30	34	yes
Artemisia sp.	40	45	36	25	37	51	52	67	42	44	37	32	20	20	17	yes
Tubiflora-type (high spine Aster)	57	11	23	20	32	20	31	19	39	23	54	38	57	6	30	yes
Liguliflorae-type (lettuce type)	2			1	1		2			1		10	8		2	yes
Ambrosia-type (low spine Aster)	102	65	58	100	70	32	45	69	70	47	65	41	63	26	63	yes
Polygonaceae 	24	29	18	12	34	10	15	17	16	15	9	18	21	16	16	yes
Chenopodiaceae	74	90	65	95	64	72	56	59	60	96	37	61	73	36	98	yes
Plantago													2			yes
Yucca sp.?																yes
Cactaceae																yes
Brassicaceae																yes
Ephedraceae?																yes
Apiaceae									1							yes
Cucurbitaceae									1							yes
polyad grain (Fabaceae?)														1	1	yes
Euphorbiaceae 														8		yes
Unknown/Crumpled	10	5	6	3	6	5	4	3	11		3	5	4	6	9	yes
Equisetaceae												3		2		no
Typha sp. 		1												1		no
Potamogeton sp. 																no
Trilete spore			1												1	no
Pteridaceae												1	1			no
Diporate spore									1							no
large reticulate spore													4			no
monolete																no
Moss spore (Dicranum-like)			4	66	43		1									no
psilate grain with exit papilla - could be fungi?				12	9											no
inaperturate spore						2		1							4	no
