"UCIAMS_Number","Species","Taxon","del15N_permil","del13C_permil","X14C_age_BP","median_age","time_group"
216772,"O. beecheyi","Otospermophilus",3.8,-20.7,2375,2362,"Holocene"
223494,"Sylvilagus sp","Sylvilagus",6.2,-18.8,2650,2759,"Holocene"
223493,"O. beecheyi","Otospermophilus",9.9,-18.5,5166,5156,"Holocene"
216760,"S. audubonii","Sylvilagus",3.6,-20.8,5925,6744,"Holocene"
223528,"O. beecheyi","Otospermophilus",4.4,-18.6,6155,7059,"Holocene"
216761,"O. beecheyi","Otospermophilus",5.9,-21.1,11105,13043,"Pleistocene"
216766,"S. audubonii","Sylvilagus",7.6,-22,13990,17023,"Pleistocene"
216767,"S. bachmani","Sylvilagus",4.9,-21.9,14390,17530,"Pleistocene"
223513,"Sylvilagus sp","Sylvilagus",7.2,-21.3,25830,30098,"Pleistocene"
198298,"O. beecheyi","Otospermophilus",7,-20.9,26310,30580,"Pleistocene"
223516,"Sylvilagus sp","Sylvilagus",7.9,-20.9,26780,31014,"Pleistocene"
223521,"O. beecheyi","Otospermophilus",6.4,-20.3,26940,31085,"Pleistocene"
223524,"Sylvilagus sp","Sylvilagus",7.2,-20.9,28090,32069,"Pleistocene"
223529,"O. beecheyi","Otospermophilus",9.4,-19.3,28370,32515,"Pleistocene"
217078,"S. bachmani","Sylvilagus",8.2,-22.3,28500,32671,"Pleistocene"
216765,"S. audubonii","Sylvilagus",8.4,-21.3,28600,32838,"Pleistocene"
216771,"S. audubonii","Sylvilagus",6.9,-22.5,30320,34760,"Pleistocene"
223526,"Sylvilagus sp","Sylvilagus",8.1,-21.2,30540,34931,"Pleistocene"
198302,"O. beecheyi","Otospermophilus",6.7,-20.2,30870,35226,"Pleistocene"
216780,"O. beecheyi","Otospermophilus",4.5,-21.4,30900,35269,"Pleistocene"
216781,"O. beecheyi","Otospermophilus",6.6,-21.5,30970,35351,"Pleistocene"
216779,"O. beecheyi","Otospermophilus",5.3,-20.7,31000,35386,"Pleistocene"
223507,"Sylvilagus sp","Sylvilagus",6.4,-22.2,31230,35637,"Pleistocene"
216773,"O. beecheyi","Otospermophilus",6.3,-20.4,31340,35727,"Pleistocene"
