OriginalName	RevisedName	Order	Family	Genus	Precipitation Affinity	Temperature Affinity	Diet Group	Diet Breadth
?Dipodomys sp	Dipodomys sp	Rodentia	Heteromyidae	Dipodomys	NA	NA	NA	NA
?Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis	Mesic	Cool	Omnivore	Generalist
?Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus	Neutral	Neutral	Herbivore	Intermediate
?Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela	Mesic	Neutral	Carnivore	Specialist
?Neotoma sp	Neotoma sp	Rodentia	Cricetidae	Neotoma	Mesic	Neutral	Herbivore	Generalist
?Onychomys torridus	Onychomys torridus	Rodentia	Cricetidae	Onychomys	Xeric	Warm	Insectivore	Specialist
?Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	Neutral	Neutral	Granivore	Generalist
?Otosperomophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	Neutral	Neutral	Granivore	Generalist
?Peromyscus              sp sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
?Peromyscus maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
?Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
?Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	Neutral	Neutral	Granivore	Intermediate
?Sorex sp	Sorex sp	Eulipotyphla	Soricidae	Sorex	Neutral	Neutral	Insectivore	Specialist
?Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale	Neutral	Neutral	Omnivore	Generalist
?Sylvilagus sp	Sylvilagus sp	Lagomorpha	Leporidae	Sylvilagus	Xeric	Neutral	Herbivore	Intermediate
?Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	NA	NA	NA	NA
?Thomomys sp	Thomomys sp	Rodentia	Geomyidae	Thomomys	Xeric	Warm	Herbivore	Intermediate
Aves-NA	Aves	NA	NA	NA	NA	NA	NA	NA
Canis cf dirus	Canis dirus	Carnivora	Canidae	Canis	NA	NA	NA	NA
Canis cf latrans	Canis latrans	Carnivora	Canidae	Canis	NA	NA	NA	NA
Canis dirus	Canis dirus	Carnivora	Canidae	Canis	NA	NA	NA	NA
Canis latrans	Canis latrans	Carnivora	Canidae	Canis	NA	NA	NA	NA
Canis sp	Canis sp	Carnivora	Canidae	Canis	NA	NA	NA	NA
Capromeryx minor	Capromeryx minor	Artiodactyla	Antilocapridae	Capromeryx	NA	NA	NA	NA
cf Lepus sp	Lepus sp	Lagomorpha	Leporidae	Lepus	NA	NA	NA	NA
cf Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus	Neutral	Neutral	Herbivore	Intermediate
cf Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	Neutral	Neutral	Granivore	Generalist
cf Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
cf Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	Neutral	Neutral	Granivore	Intermediate
cf Tamais sp	Tamias sp	Rodentia	Sciuridae	Tamias	NA	NA	NA	NA
cf Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	NA	NA	NA	NA
