,Box_1,Box_13,Box_7b,Box_14
median_bio_1,13.94027749,13.51976723,13.81364014,14.11822954
median_bio_4,689.6068999,736.9861239,726.3548067,670.1369881
median_bio_5,31.66782406,31.68321207,31.81643101,31.62871828
max_bio_5,45.2382118,45.38503415,45.2435935,45.14528056
median_bio_6,-0.875067587,-2.207343744,-1.838050908,-0.341766598
max_bio_6,10.89208922,11.90679225,11.59944751,10.68519241
,,,,
mean_bio_12,575.8998525,544.6336068,513.874827,592.584519
median_bio_12,472.4760563,465.78125,435.5981818,476.7755835
var_bio_12,154214.4101,126947.9435,109784.4108,167858.7119
sd_bio_12,357.6478031,317.1054259,304.17966,381.5350665
max_bio_12,2485.512676,2665.640625,2426.458182,2416.38061
min_bio_12,54.29014085,53.578125,52.89090909,54.96409336
mean_bio_13,104.0571068,96.45752013,92.00364603,107.3238009
median_bio_13,88.0056338,83.65848214,79.91272727,89.6481149
var_bio_13,4795.670021,3945.066402,3537.552493,5148.07365
sd_bio_13,65.17099452,58.70448821,56.44987379,68.38229847
max_bio_13,443.4901408,475.453125,432.52,425.5278276
min_bio_13,10.21408451,10.07142857,10.05818182,10.38240575
mean_bio_14,7.413811117,9.719411677,8.310759195,6.623202131
median_bio_14,5.045070423,6.979910714,6.014545455,4.231597846
var_bio_14,62.0165698,113.1596326,78.5673774,57.0108874
sd_bio_14,6.999644597,8.602219189,7.415826617,6.598725481
max_bio_14,48.51267606,65.16964286,54.21454545,44.37163375
min_bio_14,0,0,0,0
mean_bio_15,71.45050382,66.85192857,68.24675454,73.41795609
median_bio_15,72.86859647,67.93673794,69.49617911,75.04981933
var_bio_15,356.5595267,441.8745291,415.8818482,313.6523933
sd_bio_15,18.0415623,20.29722873,19.55536513,16.85179579
max_bio_15,124.6686107,129.9603059,127.2488704,122.8641658
min_bio_15,19.81055096,12.92276985,17.66116936,24.17593382
AdultBodyMass_g,533.2437465,595.4674554,470.1555273,400.261526
