,Box_1,Box_13,Box_7b,Box_14
median_bio_1,13.96126234,13.67583455,13.97088961,14.36261798
median_bio_4,688.8721948,730.7046578,720.2615266,666.8385621
median_bio_5,31.67829955,31.74221213,31.8789042,31.76594754
max_bio_5,45.21416485,45.20524998,45.08332717,44.8527459
median_bio_6,-0.849941485,-2.020156959,-1.656377104,-0.222314723
min_bio_6,-16.96224811,-18.77231834,-18.2522965,-15.26118154
,,,,
mean_bio_12,574.1513204,533.3315588,503.0856255,561.8526301
median_bio_12,471.6016713,459.9147609,430.6986532,462.2511628
var_bio_12,153029.0215,120417.7326,103878.309,148933.7428
sd_bio_12,356.0457179,307.4477544,294.4112529,352.7014035
max_bio_12,2471.924791,2543.582121,2311.542088,2202.486822
min_bio_12,54.52089136,55.16632017,54.66329966,57.96124031
mean_bio_13,103.802952,94.83077156,90.43475869,102.3028658
median_bio_13,87.89972145,83.15800416,79.50505051,87.59379845
var_bio_13,4763.312973,3755.675501,3361.248751,4597.028564
sd_bio_13,64.91771689,57.02231634,54.77133866,63.58767682
max_bio_13,441.183844,453.6424116,412.040404,387.9891473
min_bio_13,10.24512535,10.20997921,10.20875421,10.60620155
mean_bio_14,7.34905439,9.179467944,7.820340279,5.956492588
median_bio_14,5,6.575883576,5.643097643,3.79379845
var_bio_14,61.34778267,105.6548003,72.91710895,49.59850675
sd_bio_14,6.937330624,8.133690721,6.97851319,5.914712564
max_bio_14,48.08913649,61.44698545,50.94276094,39.71317829
min_bio_14,0,0,0,0
mean_bio_15,71.5841571,67.89578127,69.27431376,74.58969776
median_bio_15,72.9964218,68.93714755,70.46361603,76.05443888
var_bio_15,354.2862311,424.30922,399.2690218,297.2048037
sd_bio_15,17.97674904,19.83568809,19.13073717,16.44627606
max_bio_15,124.6544693,128.4858064,125.988355,120.945806
min_bio_15,20.12970188,15.3928294,19.94986417,27.51614548
AdultBodyMass_g,527.6673259,558.8358212,439.6043434,353.9120465
