,Box_1,Box_13,Box_7b,Box_14
median_bio_1,14.0096728,13.82671287,14.60561442,14.64013537
median_bio_4,606.703834,625.2648851,620.1394743,612.6727913
median_bio_5,31.08339201,31.03962228,31.46767332,31.52998286
max_bio_5,44.93948791,44.83991728,44.47605282,44.54160293
median_bio_6,1.295339916,0.950655446,1.249932333,1.246706151
min_bio_6,-12.9100936,-13.14273056,-12.83461658,-12.28032022
,,,,
mean_bio_12,691.8234087,653.7971429,591.6957181,618.6377354
median_bio_12,533.6157635,526.2020725,482.0413534,493.0372807
var_bio_12,233847.3279,195411.0679,157410.7183,187426.508
sd_bio_12,472.0912114,419.9262014,372.3437584,407.1757634
max_bio_12,2401.62069,2171.07772,1892.451128,2036.45614
min_bio_12,60.37438424,64.81865285,64.28571429,62.61184211
mean_bio_13,125.6066891,118.5454456,108.613739,113.4775986
median_bio_13,101.8078818,99.75129534,92.88721805,95.40570175
var_bio_13,6958.74139,5903.164033,4828.181317,5635.652864
sd_bio_13,81.85948472,73.58855531,65.92009732,71.37485807
max_bio_13,412.9359606,373.7979275,330.037594,352.1973684
min_bio_13,11.14285714,11.58031088,11.60902256,11.23684211
mean_bio_14,4.75824495,4.607723132,3.747959985,3.937147899
median_bio_14,2.275862069,2.497409326,1.842105263,1.813596491
var_bio_14,34.72544771,29.81093133,22.47460963,26.5509928
sd_bio_14,5.613283468,5.03024071,4.351974792,4.703589546
max_bio_14,32.38423645,29.38860104,25.21804511,27.05482456
min_bio_14,0,0,0,0
mean_bio_15,79.15448821,78.66811067,79.96411777,80.16092607
median_bio_15,81.42503823,80.90157037,82.0670421,82.07730854
var_bio_15,174.9811796,174.4463394,166.4362941,175.4904821
sd_bio_15,13.17098723,13.1624565,12.84321993,13.1938997
max_bio_15,113.6823389,108.8387649,110.6776216,113.3344795
min_bio_15,31.13363394,29.63972398,36.37719576,36.30648885
AdultBodyMass_g,295.8548276,253.4506218,192.4716541,223.4494518
