,Box_1,Box_13,Box_7b,Box_14
median_bio_1,14.13119461,14.09505612,14.44799221,14.5683103
median_bio_4,682.5888532,717.573304,705.1559407,659.363117
median_bio_5,31.78487581,32.02149892,32.20448408,31.8983532
max_bio_5,45.24126338,45.30319162,45.09657559,44.84865676
median_bio_6,-0.581041409,-1.391035938,-0.978041061,0.09185534
min_bio_6,-16.61565162,-17.95566991,-17.44952517,-14.86015593
,,,,
mean_bio_12,569.1806606,510.0405341,489.5343149,557.3295989
median_bio_12,467.0571429,440.647191,419.7803571,458.1621622
var_bio_12,150933.2815,105132.6092,98716.30226,147346.2634
sd_bio_12,353.2538743,288.8151747,286.7550032,350.414185
max_bio_12,2418.462857,2326.11236,2184.575,2139.096979
min_bio_12,54.33714286,54.1752809,54.68571429,58.04292528
mean_bio_13,103.6805767,92.99095259,89.69896745,102.2320277
median_bio_13,87.69142857,81.83595506,78.675,87.43084261
var_bio_13,4771.030376,3550.041838,3355.335242,4611.040003
sd_bio_13,64.9814609,55.51700206,54.71106897,63.67463067
max_bio_13,434.6142857,426.0337079,397.2071429,380.2496025
min_bio_13,10.24285714,10.11910112,10.23928571,10.62162162
mean_bio_14,6.755321825,7.383302472,6.526667455,5.366018467
median_bio_14,4.64,5.550561798,4.860714286,3.419713831
var_bio_14,44.29964755,45.61714009,39.36384919,34.20189946
sd_bio_14,6.433272246,6.469262283,5.901113262,5.423836138
max_bio_14,44.14,47.00898876,43.03928571,35.80127186
min_bio_14,0,0,0,0
mean_bio_15,72.25574363,69.62771458,70.7263149,75.32116927
median_bio_15,73.66898188,70.68409846,71.89648787,76.79041424
var_bio_15,349.9568891,411.3944312,393.4261146,291.6075001
sd_bio_15,17.8541281,19.49404675,18.94505711,16.2881361
max_bio_15,124.0064475,125.3242933,124.8704827,120.1694675
min_bio_15,20.50665161,16.195531,20.82896565,28.07692386
AdultBodyMass_g,518.8644857,578.358809,437.7594643,361.3249444
