"RevisedName"	"Family"	"Genus"	"Box_1"	"Box_13"	"Box_14"	"Box_7b"
"Microtus californicus"	"Cricetidae"	"Microtus"	12	NA	12	NA
"Microtus sp"	"Cricetidae"	"Microtus"	107	89	251	64
"Neotoma macrotis"	"Cricetidae"	"Neotoma"	NA	NA	1	6
"Neotoma sp"	"Cricetidae"	"Neotoma"	5	7	23	25
"Onychomys torridus"	"Cricetidae"	"Onychomys"	NA	3	NA	NA
"Peromyscus californicus"	"Cricetidae"	"Peromyscus"	7	4	6	3
"Peromyscus maniculatus"	"Cricetidae"	"Peromyscus"	3	12	12	11
"Peromyscus sp"	"Cricetidae"	"Peromyscus"	22	100	119	55
"Reithrodontomys megalotis"	"Cricetidae"	"Reithrodontomys"	NA	3	1	6
"Thomomys bottae"	"Geomyidae"	"Thomomys"	NA	1	2	3
"Thomomys sp"	"Geomyidae"	"Thomomys"	8	11	32	36
"Dipodomys sp"	"Heteromyidae"	"Dipodomys"	2	30	86	21
"Sylvilagus audubonii"	"Leporidae"	"Sylvilagus"	9	22	8	16
"Sylvilagus bachmani"	"Leporidae"	"Sylvilagus"	2	NA	4	1
"Sylvilagus sp"	"Leporidae"	"Sylvilagus"	158	213	196	95
"Mephitis mephitis"	"Mephitidae"	"Mephitis"	3	3	NA	3
"Spilogale gracilis"	"Mephitidae"	"Spilogale"	1	NA	1	NA
"Mustela frenata"	"Mustelidae"	"Mustela"	3	21	4	3
"Neotamias/Tamias sp"	"Sciuridae"	"Neotamias/Tamias"	1	5	2	NA
"Otospermophilus beecheyi"	"Sciuridae"	"Otospermophilus"	51	68	49	17
"Spermophilus sp"	"Sciuridae"	"Spermophilus"	NA	NA	1	NA
"Sorex sp"	"Soricidae"	"Sorex"	2	NA	5	1
"Scapanus latimanus"	"Talpidae"	"Scapanus"	NA	NA	NA	1
