"Museum_Number"	"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"prelim_taxon_name"	"box"	"misc"
"1"	"LACMP23-28065"	"NSF-16-01A1"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"2"	"LACMP23-28066"	"NSF-16-01A2"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"3"	"LACMP23-28067"	"NSF-16-01A3"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"4"	"LACMP23-28068"	"NSF-16-01A4"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"5"	"LACMP23-28069"	"NSF-16-01A5"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"6"	"LACMP23-28346"	"NSF-16-01B"	"A1/L1"	"Mammalia"	"Carnivora"	"Canidae"	NA	"Canis"	"dirus"	"Canis dirus"	"1"	"n"
"7"	"LACMP23-28070"	"NSF-16-01C"	"A1/L1"	"Mammalia"	"Carnivora"	"Mephitidae"	NA	"Mephitis"	"mephitis"	"Mephitis mephitis"	"1"	"n"
"8"	"LACMP23-28074"	"NSF-16-02A"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"9"	"LACMP23-28075"	"NSF-16-02B"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
"10"	"LACMP23-28076"	"NSF-16-02C"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	NA	"Sylvilagus"	"sp"	"Sylvilagus sp"	"1"	"n"
