"Lab_Number"	"Catalog_Number"	"Box"	"Grid"	"Level"	"Identification"	"NISP"
"33461_JG-001"	"LACMP23-36004"	"1"	"B-2"	"2"	"Juniperus sp."	"465.5"
"33461_JG-002"	"LACMP23-36005"	"1"	"B-2"	"2"	"Quercus lobata"	"3"
"33461_JG-003"	"LACMP23-36006"	"1"	"B-2"	"2"	"Rhamnus ilicifolia"	"1"
"33461_JG-004"	"LACMP23-36007"	"1"	"B-2"	"2"	"Juniperus californica"	"4"
"33461_JG-005"	"LACMP23-36008"	"1"	"B-2"	"2"	"Arctostaphylos glandulosa"	"2"
"33461_JG-006"	"not cataloging now-lots more at LBTP"	"1"	"B-2"	"2"	"poop"	"4"
"33461_JG-007"	"LACMP23-36009"	"1"	"B-2"	"2"	"Ambrosia psilostachya"	"0.5"
"33461_JG-008"	"LACMP23-36010"	"1"	"B-2"	"2"	"Platanus racemosa"	"1"
"33461_JG-009"	"LACMP23-36011"	"1"	"B-2"	"2"	"Cyperaceae"	"1"
"33461_JG-010"	"LACMP23-36012"	"1"	"B-2"	"2"	"Juniperus californica"	"1"
"33461_JG-011"	"LACMP23-36013"	"1"	"B-2"	"2"	"Juniperus californica"	"3"
"33461_JG-012"	"LACMP23-36014"	"1"	"B-2"	"2"	"Juniperus californica"	"5"
"33461_JG-013"	"LACMP23-36015"	"1"	"B-2"	"2"	"Juniperus californica"	"1"
"33461_JG-014"	"LACMP23-36016"	"1"	"B-2"	"2"	"Pinus radiata"	"0.5"
"33461_JG-015"	"LACMP23-36017"	"1"	"B-2"	"2"	"Deinandra fasciculata"	"1"
"33461_JG-016"	"LACMP23-36018"	"1"	"B-2"	"2"	"Juniperus californica"	"2.75"
"33461_JG-017"	"LACMP23-36019"	"1"	"B-2"	"2"	"Juniperus californica"	"1"
"33461_JG-018"	"LACMP23-36020"	"1"	"B-2"	"2"	"Pinus radiata"	"1"
"33461_JG-019"	"LACMP23-36021"	"1"	"B-2"	"2"	"Quercus lobata"	"2"
"33461_JG-020"	"LACMP23-36022"	"1"	"B-2"	"2"	"Quercus lobata"	"1"
"33461_JG-021"	"LACMP23-36023"	"1"	"B-2"	"2"	"Arctostaphylos catalinae"	"0.5"
"33461_JG-022"	"discarded"	"1"	"B-2"	"2"	"rock"	"3"
"33461_JG-023"	"LACMP23-36024"	"1"	"B-2"	"2"	"Berula erecta"	"2"
"33461_JG-024"	"LACMP23-36025"	"1"	"B-2"	"2"	"Hesperocyparis macrocarpa"	"2"
"33461_JG-025"	"LACMP23-36026"	"1"	"B-2"	"2"	"Pinus attenuata"	"2"
"33461_JG-026"	"LACMP23-36027"	"1"	"B-2"	"2"	"Quercus lobata"	"1"
"33461_JG-027"	"LACMP23-36028"	"1"	"B-2"	"2"	"Bone"	"1"
"33461_JG-028"	"LACMP23-36029"	"1"	"B-2"	"2"	"Asclepias californica"	"1"
"33461_JG-029"	"LACMP23-36030"	"1"	"B-2"	"2"	"Allium atrorubens"	"1"
"33461_JG-030"	"LACMP23-36031"	"1"	"B-2"	"2"	"Berberis aquifolium"	"10"
"33462_JG-031"	"LACMP23-36032"	"1"	"B-2"	"3"	"Juniperus californica"	"72.5"
"33462_JG-032"	"LACMP23-36033"	"1"	"B-2"	"3"	"Xanthium strumarium"	"1"
"33462_JG-033"	"LACMP23-36034"	"1"	"B-2"	"3"	"Ceanothus greggii"	"1"
"33462_JG-034"	"LACMP23-36035"	"1"	"B-2"	"3"	"Juniperus californica"	"2"
"33463_JG-035"	"LACMP23-36036"	"1"	"B-2"	"4"	"Juniperus sp."	"48.5"
"33463_JG-036"	"LACMP23-36037"	"1"	"B-2"	"4"	"Xanthium strumarium"	"1"
"33463_JG-037"	"LACMP23-36038"	"1"	"B-2"	"4"	"Polygonum sp."	"1"
"33463_JG-038"	"LACMP23-36039"	"1"	"B-2"	"4"	"Berula erecta"	"1"
"33463_JG-039"	"LACMP23-36040"	"1"	"B-2"	"4"	"Pinus radiata"	"0.5"
"33463_JG-040"	"discarded"	"1"	"B-2"	"4"	"rock"	"3"
"33464_JG-041"	"LACMP23-36041"	"1"	"B-2"	"6"	"Juniperus sp."	"91"
"33464_JG-042"	"LACMP23-36042"	"1"	"B-2"	"6"	"Juniperus californica"	"5"
"33464_JG-043"	"LACMP23-36043"	"1"	"B-2"	"6"	"Quercus lobata"	"7"
"33464_JG-044"	"LACMP23-36044"	"1"	"B-2"	"6"	"Juniperus californica"	"2"
"33464_JG-045"	"LACMP23-36045"	"1"	"B-2"	"6"	"Platanus racemosa"	"5"
"33464_JG-046"	"not cataloging now-lots more at LBTP"	"1"	"B-2"	"6"	"poop"	"6.5"
"33464_JG-047"	"LACMP23-36046"	"1"	"B-2"	"6"	"Quercus lobata"	"6"
"33464_JG-048"	"discarded"	"1"	"B-2"	"6"	"Bone"	"1"
"33464_JG-049"	"LACMP23-36047"	"1"	"B-2"	"6"	"Hesperocyparis macrocarpa"	"2"
"33464_JG-050"	"LACMP23-36048"	"1"	"B-2"	"6"	"Hesperocyparis macrocarpa"	"10"
"33464_JG-051"	"LACMP23-36049"	"1"	"B-2"	"6"	"Quercus lobata"	"2"
"33464_JG-052"	"LACMP23-36050"	"1"	"B-2"	"6"	"Juniperus californica"	"1"
"33464_JG-053"	"LACMP23-36051"	"1"	"B-2"	"6"	"Quercus agrifolia"	"1"
"33464_JG-054"	"LACMP23-36052"	"1"	"B-2"	"6"	"Pinus sabiniana"	"1"
"33464_JG-055"	"LACMP23-36053"	"1"	"B-2"	"6"	"Iris tenuissima"	"1"
"33464_JG-056"	"LACMP23-36054"	"1"	"B-2"	"6"	"Pinus sabiniana"	"1"
"33464_JG-057"	"LACMP23-36055"	"1"	"B-2"	"6"	"Pinus sabiniana"	"2"
"33464_JG-058"	"LACMP23-36056"	"1"	"B-2"	"6"	"Hesperocyparis macrocarpa"	"2"
"33464_JG-059"	"LACMP23-36057"	"1"	"B-2"	"6"	"Hesperocyparis macrocarpa"	"1"
"33464_JG-060"	"LACMP23-36058"	"1"	"B-2"	"6"	"Rosa californica"	"1"
"33464_JG-061"	"LACMP23-36059"	"1"	"B-2"	"6"	"Sisyrinchium bellum"	"1"
"33464_JG-062"	"LACMP23-36060"	"1"	"B-2"	"6"	"Galium andrewsii"	"1"
"33464_JG-063"	"LACMP23-36061"	"1"	"B-2"	"6"	"Berberis haematocarpa"	"1"
"33464_JG-064"	"LACMP23-36062"	"1"	"B-2"	"6"	"Allium atrorubens"	"1"
"33464_JG-065"	"LACMP23-36063"	"1"	"B-2"	"6"	"Pinus radiata"	"1"
"33464_JG-066"	"LACMP23-36064"	"1"	"B-2"	"6"	"Pinus sabiniana"	"0.5"
"33465_JG-067"	"LACMP23-36065"	"1"	"B-2"	"7"	"Juniperus sp."	"14.5"
"33465_JG-068"	"LACMP23-36066"	"1"	"B-2"	"7"	"Lathyrus sulphureus"	"1"
"33465_JG-069"	"LACMP23-36067"	"1"	"B-2"	"7"	"Platanus racemosa"	"4"
"33465_JG-070"	"LACMP23-36068"	"1"	"B-2"	"7"	"Platanus racemosa"	"8"
"33465_JG-071"	"bone"	"1"	"B-2"	"7"	"bone"	"1"
"33465_JG-072"	"(we may have misplaced this one here at UMaine - KG)"	"1"	"B-2"	"7"	"Juniperus sp."	"1"
