Original_Identification	RevisedTaxon	TaxonGroup
Abies concolor		Abies
Acer macrophyllum		Acer
Acer negundo		Acer
Acmispon rigidus		Acmispon
Aconitum columbianum		Aconitum
Actaea rubra		Actaea
Adenostoma fasciculatum		Adenostoma
Adenostoma sparsifolium		Adenostoma
Agoseris glauca		Agoseris
Allium atrorubens		Allium
Allium campanulatum		Allium
Alnus rhombifolia		Alnus
Alopecurus aequalis		Alopecurus
Amaranthus blitoides		Amaranthus
Amaranthus powellii		Amaranthus
Ambrosia acanthicarpa		Ambrosia
Ambrosia confertiflora		Ambrosia
Ambrosia eriocentra		Ambrosia
Ambrosia psilostachya		Ambrosia
Ambrosia sp.		Ambrosia
Angelica kingii		Angelica
Angelica tomentosa		Angelica
Aquilegia formosa		Aquilegia
Arctostaphylos catalinae		Arctostaphylos
Arctostaphylos glandulosa		Arctostaphylos
Arctostaphylos glauca		Arctostaphylos
Arctostaphylos sp.		Arctostaphylos
Arctostaphylos viscida		Arctostaphylos
Aristolochia californica		Aristolochia
Arnica sororia		Arnica
Asclepias californica		Asclepias
Asclepias eriocarpa		Asclepias
Asteraceae		Asteraceae
Astragalus accidens		Astragalus
Atriplex lentiformis		Atriplex
Barbarea orthoceras		Barbarea
Berberis aquifolium		Berberis
Berberis haematocarpa		Berberis
Berberis sp.		Berberis
Berula erecta		Berula
Bloomeria crocea		Bloomeria
bone		remove
Bone	bone	remove
Brasenia schreberi		Brasenia
Brassicaceae		Brassicaceae
Brodiaea elegans		Brodiaea
Calystegia subacaulis		Calystegia
Castela emoryi		Castela
Ceanothus greggii		Ceanothus
Ceanothus integerrimus		Ceanothus
Chaenactis douglasii		Chaenactis
charcoal		remove
Charcoal	charcoal	remove
Chenopodium atrovirens		Chenopodium
Cirsium scariosum		Cirsium
Coleogyne ramosissima		Coleogyne
Convolvulus simulans		Convolvulus
Cornus nuttallii		Cornus
Cornus sericea		Cornus
Cyperaceae		Cyperaceae
Datura wrightii		Datura
Deinandra fasciculata		Deinandra
Dichondra occidentalis		Dichondra
Eschscholzia californica		Eschscholzia
Ferocactus cylindraceus		Ferocactus
Ferocactus sp.		Ferocactus
Funastrum cynanchoides		Funastrum
Galium andrewsii		Galium
Galium hallii		Galium
Galium trifidium	Galium trifidum	Galium
Galium trifidum		Galium
Hesperocyparis macnabiana		Hesperocyparis
Hesperocyparis macrocarpa		Hesperocyparis
Heteromeles arbutifolia		Heteromeles
Hippuris vulgaris		Hippuris
Insect chitin	insect	remove
Insect wing	insect	remove
Iris macrosiphon		Iris
Iris tenuissima		Iris
Juniperus californica		Juniperus
Juniperus californica (charcoal/ashpalt?)		Juniperus
Juniperus sp.		Juniperus
Juniperus sp. (charcoal/ashpalt?)		Juniperus
Lamiaceae		Lamiaceae
Lathyrus sulphureus		Lathyrus
Lathyrus vestitus		Lathyrus
Lonicera interrupta		Lonicera
Lupinus albifrons		Lupinus
Madia elegans		Madia
Madia exigua		Madia
Malosma laurina		Malosma
Malvaceae		Malvaceae
Maurandella antirrhinflora		Maurandella
Mica	rock	remove
Muilla maritima		Muilla
Nemophila maculata		Nemophila
Nolina parryi		Nolina
not bone		remove
Papaver californicum		Papaver
Perideridia bolanderi		Perideridia
Persicaria lapathifolia		Persicaria
Persicaria punctata		Persicaria
Pinaceae		Pinaceae
Pinus attenuata		Pinus
Pinus muricata		Pinus
Pinus ponderoa	Pinus ponderosa	Pinus
Pinus ponderosa		Pinus
Pinus radiata		Pinus
Pinus sabiniana		Pinus
Pinus sp.		Pinus
Plantanus racemosa	Platanus racemosa	Platanus
Platanus racemosa		Platanus
Poaceae		Poaceae
Polygonum sp.		Polygonum
poop	scat	remove
Potamogeton alpinus		Potamogeton
Potamogeton amplifolius		Potamogeton
Potamogeton nodosus		Potamogeton
Prunus andersonii		Prunus
Purshia tridentata		Purshia
Quercus agrifolia		Quercus
Quercus chrysolepis		Quercus
Quercus dumosa		Quercus
Quercus garryana		Quercus
Quercus lobata		Quercus
Quercus sp.		Quercus
Ranunculus sceleratus		Ranunculus
Ranunculus sp.		Ranunculus
Rhamnus californica		Rhamnus
Rhamnus ilicifolia		Rhamnus
Rhus aromatica		Rhus
Rhus integrifolia		Rhus
Ribes divaricatum		Ribes
rock		remove
Rock	rock	remove
rocks	rock	remove
Rocks	rock	remove
Rosa californica		Rosa
Rosa gymnocarpa		Rosa
Rosa woodsii		Rosa
Rosaceae		Rosaceae
Rumex salicifolius		Rumex
Salix lasiolepis		Salix
Salvia apiana		Salvia
Salvia columbariae		Salvia
Salvia dorrii		Salvia
Salvia sonomensis		Salvia
Salvia spathacea		Salvia
Sambucus nigra		Sambucus
scat		remove
Scat	scat	remove
Sisyrinchium bellum		Sisyrinchium
Sisyrinchium sp.		Sisyrinchium
Solidago canadensis		Solidago
Solidago canandensis		Solidago
Sorbus californica	Solidago canadensis	Sorbus
Stachys albens		Stachys
Tauschia parishii		Tauschia
Themidaceae		Themidaceae
Thysanocarpus laciniatus		Thysanocarpus
tooth		remove
Tooth	tooth	remove
Trichostema lanceolatum		Trichostema
Turtle scute	turtle	remove
Vicia hassei		Vicia
Viola douglasii		Viola
Wood	wood	remove
Xanthium strumarium		Xanthium
