OriginalName	RevisedName	Order	Family	Genus
?Dipodomys sp	Dipodomys sp	Rodentia	Heteromyidae	Dipodomys
?Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis
?Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus
?Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela
?Neotamias/Tamias sp	Neotamias/Tamias sp	Rodentia	Sciuridae	Neotamias/Tamias
?Neotoma sp	Neotoma sp	Rodentia	Cricetidae	Neotoma
?Onychomys torridus	Onychomys torridus	Rodentia	Cricetidae	Onychomys
?Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
?Peromyscus maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus
?Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus
?Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys
?Sorex sp	Sorex sp	Eulipotyphla	Soricidae	Sorex
?Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale
?Sylvilagus sp	Sylvilagus sp	Lagomorpha	Leporidae	Sylvilagus
?Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias
?Thomomys sp	Thomomys sp	Rodentia	Geomyidae	Thomomys
Aves-NA	Aves	NA	NA	NA
Canis cf dirus	Canis dirus	Carnivora	Canidae	Canis
Canis cf latrans	Canis latrans	Carnivora	Canidae	Canis
Canis dirus	Canis dirus	Carnivora	Canidae	Canis
Canis latrans	Canis latrans	Carnivora	Canidae	Canis
Canis sp	Canis sp	Carnivora	Canidae	Canis
Capromeryx minor	Capromeryx minor	Artiodactyla	Antilocapridae	Capromeryx
cf Lepus sp	Lepus sp	Lagomorpha	Leporidae	Lepus
cf Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus
cf Onychomys torridus	Onychomys torridus	Rodentia	Cricetidae	Onychomys
cf Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
cf Peromyscus cf californicus	Peromyscus californicus	Rodentia	Cricetidae	Peromyscus
cf Peromyscus maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus
cf Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus
cf Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys
cf Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale
cf Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias
cf Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea
Dipodomys sp	Dipodomys sp	Rodentia	Heteromyidae	Dipodomys
Insecta-Hymenoptera	Hymenoptera	NA	NA	NA
Mammalia-??	Mammalia	NA	NA	NA
Mammalia-???	Mammalia	NA	NA	NA
Mammalia-?Carnivora	Mammalia	NA	NA	NA
Mammalia-?Eulipotyphla	Mammalia	NA	NA	NA
Mammalia-?Lagomorpha	Mammalia	NA	NA	NA
Mammalia-?Rodentia	Mammalia	NA	NA	NA
Mammalia-Artiodactyla	Artiodactyla	Artiodactyla	NA	NA
Mammalia-Carnivora	Carnivora	Carnivora	NA	NA
Mammalia-cf Carnivora	Carnivora	Carnivora	NA	NA
Mammalia-cf Rodentia	Rodentia	Rodentia	NA	NA
Mammalia-Eulipotyphla	Eulipotyphla	Eulipotyphla	NA	NA
Mammalia-Lagomorpha	Lagomorpha	Lagomorpha	NA	NA
Mammalia-Lagomorpha/Rodentia	Mammalia	NA	NA	NA
Mammalia-Misc	Mammalia	NA	NA	NA
Mammalia-NA	Mammalia	NA	NA	NA
Mammalia-Rodentia	Rodentia	Rodentia	NA	NA
Mammalia-Rodentia/Lagomorpha	Mammalia	NA	NA	NA
Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis
Microtus californicus	Microtus californicus	Rodentia	Cricetidae	Microtus
Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus
Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela
NA-NA	NA	NA	NA	NA
Neotamias/Tamias sp	Neotamias/Tamias sp	Rodentia	Sciuridae	Neotamias/Tamias
Neotoma macrotis	Neotoma macrotis	Rodentia	Cricetidae	Neotoma
Neotoma sp	Neotoma sp	Rodentia	Cricetidae	Neotoma
Neotomais/Tamias sp	Neotamias/Tamias sp	Rodentia	Sciuridae	Neotamias/Tamias
Otospermophilus ?beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
Otospermophilus cf beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
Peromyscus ?maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus
Peromyscus cf californicus	Peromyscus californicus	Rodentia	Cricetidae	Peromyscus
Peromyscus cf maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus
Peromyscus cf P. maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus
Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus
Scapanus cf latimanus	Scapanus latimanus	Eulipotyphla	Talpidae	Scapanus
Reithrodontomys cf megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys
Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys
Scapanus latimanus	Scapanus latimanus	Eulipotyphla	Talpidae	Scapanus
Sorex cf ornatus	Sorex ornatus	Eulipotyphla	Soricidae	Sorex
Sorex sp	Sorex sp	Eulipotyphla	Soricidae	Sorex
Spermophilus sp	Spermophilus sp	Rodentia	Sciuridae	Spermophilus
Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale
Sylvilagus ?audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus cf audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus cf bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus cf S. audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus
Sylvilagus sp	Sylvilagus sp	Lagomorpha	Leporidae	Sylvilagus
Tamias/Neotamias sp	Neotamias/Tamias sp	Rodentia	Sciuridae	Neotamias/Tamias
Tamias cf merriami	Tamias merriami	Rodentia	Sciuridae	Tamias
Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias
Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea
Thomomys ?bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys
Thomomys bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys
Thomomys cf bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys
Thomomys sp	Thomomys sp	Rodentia	Geomyidae	Thomomys
Urocyon cinereoargenteus	Urocyon cinereoargenteus	Carnivora	Canidae	Urocyon
Vertebrata cf Mammalia-NA	Mammalia	NA	NA	NA
Vertebrata-NA	Vertebrata	NA	NA	NA
