"Name","Unmodelled (BP)",,,,,,,,,"Modelled (BP)",,,,,,,,,"Indices
Amodel 80.2
Aoverall 80.2",
,"from","to","%","from","to","%","mu","sigma","median","from","to","%","from","to","%","mu","sigma","median","Acomb","A","L","P","C",
"IntCal20 Curve(IntCal20.14c)",,,,,,,"","","",,,,,,,"","","",,,,,,
" Sequence",,,,,,,"","","",,,,,,,"","","",,,,,,
" Boundary",,,,,,,"","","","47103","44693","68.26894800000001","48711","43348","95.449974",46084,1343,45933,,,,,93.2,
"P23-1 all Phase",,,,,,,"","","",,,,,,,"","","",,,,,,
"dups R_Combine(30696,198)","35270","34795","68.268949","35452","34606","95.449974",35035,226,35036,"35368","34903","68.268949","35562","34652","95.449974",35132,234,35146,,95.8,,,99.7,
"UCIAMS 191095 R_Date(35750,610)","41407","40279","68.268949","41890","39755","95.449974",40823,546,40844,"41411","40260","68.268949","41887","39747","95.449974",40823,546,40844,,100,,,99.4,
"UCIAMS 191096 R_Date(35440,580)","41100","40005","68.268949","41612","39487","95.449974",40555,535,40567,"41102","40005","68.268949","41621","39489","95.449974",40555,535,40567,,100,,,99.5,
"UCIAMS 191097 R_Date(35150,580)","40861","39755","68.268949","41352","39266","95.449974",40311,547,40310,"40881","39756","68.268949","41362","39265","95.449973",40311,546,40310,,100,,,99.5,
"UCIAMS 191098 R_Date(36050,630)","41689","40620","68.268949","42056","39996","95.449974",41079,526,41105,"41707","40619","68.26894999999999","42052","40002","95.449974",41079,527,41106,,100,,,99.4,
"UCIAMS 191099 R_Date(33830,480)","39466","37870","68.268949","39941","37276","95.449974",38682,694,38726,"39461","37788","68.268951","39939","37273","95.449974",38681,694,38727,,100,,,99.4,
"UCIAMS 191100 R_Date(35780,600)","41435","40329","68.268949","41897","39792","95.449974",40851,537,40872,"41427","40318","68.268949","41894","39784","95.449974",40850,537,40870,,100,,,99.4,
"UCIAMS 191101 R_Date(46200,2200)","51880","46660","68.268949","...","45909","95.44997400000001",49757,2473,49500,"46406","44456","68.26894899999999","47599","43129","95.449974",45485,1108,45384,,40.5,,,98.8,
"UCIAMS 191102 R_Date(35420,580)","41084","39990","68.268949","41590","39465","95.449974",40538,536,40549,"41088","39984","68.26894899999999","41581","39467","95.449974",40538,536,40549,,99.9,,,99.4,
"UCIAMS 198205 R_Date(36580,610)","41957","41138","68.268949","42244","40636","95.449974",41478,416,41504,"41958","41135","68.268949","42247","40637","95.449974",41478,416,41504,,100,,,99.6,
"UCIAMS 198207 R_Date(31830,340)","36526","35768","68.268949","36918","35447","95.449974",36183,375,36182,"36541","35772","68.268949","36914","35449","95.449974",36185,373,36183,,100.2,,,99.5,
"UCIAMS 198294 R_Date(39700,810)","43846","42569","68.26894899999999","44411","42361","95.449974",43308,573,43214,"43822","42554","68.26894899999999","44387","42362","95.449974",43288,561,43193,,101,,,99.5,
"UCIAMS 198199 R_Date(35770,550)","41389","40376","68.268949","41845","39845","95.449974",40848,502,40868,"41388","40378","68.268949","41845","39843","95.449974",40848,501,40868,,100.1,,,99.5,
"UCIAMS 198200 R_Date(35050,510)","40705","39705","68.268949","41160","39309","95.449974",40227,489,40223,"40706","39701","68.268949","41157","39310","95.449974",40227,489,40223,,100,,,99.5,
"UCIAMS 198201 R_Date(32500,370)","37256","36362","68.268949","38184","36110","95.449974",36968,520,36891,"37266","36365","68.268949","38187","36106","95.449974",36967,519,36890,,100,,,99.6,
"UCIAMS 198202 R_Date(35900,560)","41495","40494","68.268949","41928","39955","95.449974",40964,498,40984,"41495","40494","68.268949","41937","39961","95.449974",40964,497,40984,,100,,,99.5,
"UCIAMS 198203 R_Date(33100,620)","38791","36980","68.268949","39423","36329","95.449974",37910,843,37879,"38892","36980","68.268948","39422","36330","95.449974",37909,842,37877,,100,,,99.3,
"UCIAMS 198204 R_Date(36160,910)","41934","40543","68.268949","42310","39690","95.449974",41088,691,41138,"41936","40527","68.26894899999999","42315","39678","95.449973",41089,691,41139,,100,,,99.3,
" Boundary",,,,,,,"","","","35272","34287","68.26895","35546","33052","95.449973",34537,696,34699,,,,,97.2,
