"Name","Unmodelled (BP)",,,,,,"Modelled (BP)",,,,,,"Indices
Amodel 97.4
Aoverall 96.7",
,"from","to","%","from","to","%","from","to","%","from","to","%","Acomb","A","L","P","C",
"IntCal20 Curve(IntCal20.14c)",,,,,,,,,,,,,,,,,,
" Sequence",,,,,,,,,,,,,,,,,,
" Boundary",,,,,,,"50651","47348","68.26894899999999","52958","46585","95.44997400000001",,,,,92.2,
"P23-13 all Phase",,,,,,,,,,,,,,,,,,
"dups R_Combine(39066,374)","42822","42490","68.268949","43024","42349","95.449974","42820","42490","68.268949","43025","42350","95.449974",,100,,,99.8,
"UCIAMS 223496 R_Date(40640,800)","44305","43110","68.268949","44939","42700","95.449974","44305","43108","68.26895","44938","42695","95.449974",,99.9,,,99.4,
"UCIAMS 223497 R_Date(39240,670)","43147","42394","68.268949","44031","42252","95.449974","43153","42395","68.268949","44027","42252","95.449974",,100.1,,,99.5,
"UCIAMS 223498 R_Date(34800,390)","40404","39579","68.268949","40796","39266","95.449974","40406","39581","68.268949","40791","39265","95.449974",,100,,,99.6,
"UCIAMS 223499 R_Date(33590,340)","39134","37824","68.26894899999999","39412","37384","95.449974","39129","37804","68.26895","39417","37388","95.449974",,100,,,99.5,
"UCIAMS 223500 R_Date(35230,410)","40801","39948","68.268949","41146","39585","95.449974","40797","39945","68.268949","41149","39587","95.449974",,100,,,99.5,
"UCIAMS 223501 R_Date(35270,410)","40840","39989","68.268949","41175","39615","95.449974","40837","39986","68.268949","41171","39615","95.449974",,100,,,99.5,
"UCIAMS 223502 R_Date(44000,1200)","47724","45344","68.268949","49593","44570","95.449974","47487","45338","68.26895","48646","44610","95.449974",,106.6,,,99.3,
"UCIAMS 223503 R_Date(46200,1600)","51035","46830","68.268949","54967","45970","95.449974","48728","46240","68.26894899999999","50445","45483","95.449974",,106.1,,,99.1,
"UCIAMS 223504 R_Date(47400,1800)","52498","48029","68.268949","...","47406","95.449974","49298","46757","68.268949","50971","45870","95.449974",,78.1,,,98.9,
"UCIAMS 223505 R_Date(33260,320)","38639","37388","68.268949","39126","37058","95.449974","38648","37388","68.26895","39127","37059","95.449974",,100,,,99.6,
"UCIAMS 223506 R_Date(36260,470)","41730","40962","68.268949","42020","40564","95.449974","41731","40962","68.268949","42021","40566","95.449974",,100,,,99.6,
"UCIAMS 223507 R_Date(31230,270)","35941","35352","68.268949","36225","34950","95.449974","36053","35472","68.268949","36248","35209","95.449974",,98.6,,,99.7,
"UCIAMS 223508 R_Date(31980,280)","36650","36065","68.268949","36975","35707","95.449974","36647","36071","68.268949","36979","35741","95.449974",,100.8,,,99.6,
"UCIAMS 223509 R_Date(32660,300)","37432","36611","68.268949","38133","36274","95.449974","37435","36602","68.268949","38147","36275","95.449974",,100,,,99.5,
"Event",,,,,,,"47161","35882","68.26894799999998","49872","34729","95.449974",,,,,98.8,
" Boundary",,,,,,,"35914","34484","68.268949","36170","32777","95.449973",,,,,95.7,
