"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"Element_original"	"Notes"	"Last.ID.revision"	"Museum_Number"	"prelim_taxon_name"	"box"
"1"	"NSF-16-01A1"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper right tooth"	""	""	"LACMP23-28065"	"Sylvilagus sp."	"1"
"2"	"NSF-16-01A2"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower right tooth"	""	""	"LACMP23-28066"	"Sylvilagus sp."	"1"
"3"	"NSF-16-01A3"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper right tooth"	""	""	"LACMP23-28067"	"Sylvilagus sp."	"1"
"4"	"NSF-16-01A4"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper right tooth"	""	""	"LACMP23-28068"	"Sylvilagus sp."	"1"
"5"	"NSF-16-01A5"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower left tooth"	""	""	"LACMP23-28069"	"Sylvilagus sp."	"1"
"6"	"NSF-16-01B"	"A1/L1"	"Mammalia"	"Carnivora"	"Canidae"	""	"Canis"	"dirus"	"Juv. anterior dentary fragment w/ partially erupted premolar"	""	""	"LACMP23-28346"	"Canis dirus"	"1"
"7"	"NSF-16-01C"	"A1/L1"	"Mammalia"	"Carnivora"	"cf. Mephitidae"	""	"Mephitis"	"mephitis"	"lower left p4"	""	""	"LACMP23-28070"	"Mephitis mephitis"	"1"
"9"	"NSF-16-02A"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower right tooth"	""	""	"LACMP23-28074 "	"Sylvilagus sp."	"1"
"10"	"NSF-16-02B"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower right tooth"	""	""	"LACMP23-28075"	"Sylvilagus sp."	"1"
"11"	"NSF-16-02C"	"A1/L1"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"partial upper tooth"	""	""	"LACMP23-28076"	"Sylvilagus sp."	"1"
"13"	"NSF-16-04"	"A2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"left maxilla and P4"	""	""	"LACMP23-28073"	"Otospermophilus cf. beecheyi"	"1"
"14"	"NSF-16-05A"	"A2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper tooth frag"	""	""	"LACMP23-28080"	"Sylvilagus sp."	"1"
"15"	"NSF-16-05B"	"A2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper tooth frag"	""	""	"LACMP23-28081"	"Sylvilagus sp."	"1"
"16"	"NSF-16-06"	"A2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper left M3"	""	""	"LACMP23-28079"	"Otospermophilus cf. beecheyi"	"1"
"17"	"NSF-16-07"	"A2/L2"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"bachmani"	"lower right p3"	""	""	"LACMP23-28082"	"Sylvilagus bachmani"	"1"
"18"	"NSF-16-08"	"A2/L2"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"lower right m1 "	""	""	"LACMP23-28083"	"Otospermophilus cf. beecheyi"	"1"
