OriginalName	RevisedName	Order	Family	Genus
-	Unidentified	other	NA	NA
Aves-	Aves	other	NA	NA
Canidae	Canidae	Carnivora	Canidae	NA
Canis cf latrans	Canis latrans	Carnivora	Canidae	Canis
Canis cf. dirus	Canis dirus	Carnivora	Canidae	Canis
Canis cf. latrans	Canis latrans	Carnivora	Canidae	Canis
Canis dirus	Canis dirus	Carnivora	Canidae	Canis
Canis latrans	Canis latrans	Carnivora	Canidae	Canis
Canis sp.	Canis sp.	Carnivora	Canidae	Canis
Capromeryx minor	Capromeryx minor	Artiodactyla	Antilocapridae	Capromeryx
cf Canidae	Canidae	Carnivora	Canidae	NA
cf Cricetidae (cf Neotominae)	Cricetidae (Neotominae)	Rodentia	Cricetidae	NA
cf Geomyidae	Geomyidae	Rodentia	Geomyidae	NA
cf Geomyidae/Heteromyidae	Rodentia	Rodentia	NA	NA
cf Heteromyidae	Heteromyidae	Rodentia	Heteromyidae	NA
cf Heteromyidae/Geomyidae	Rodentia	Rodentia	NA	NA
cf Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis
cf Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela
cf Neotominae	Cricetidae (Neotominae)	Rodentia	Cricetidae	NA
cf Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
cf Peromyscus lower right m2	Peromyscus sp.	Rodentia	Cricetidae	Peromyscus
cf Reithrodontomys lower left partial m1	Reithrodontomys sp.	Rodentia	Cricetidae	Reithrodontomys
cf Reithrodontomys upper left M1	Reithrodontomys sp.	Rodentia	Cricetidae	Reithrodontomys
cf Reithrodontomys upper right M1	Reithrodontomys sp.	Rodentia	Cricetidae	Reithrodontomys
cf Sciuridae	Sciuridae	Rodentia	Sciuridae	NA
cf Sciurus griseus	Sciurus griseus	Rodentia	Sciuridae	Sciurus
cf Spermophilus lateralis?	Spermophilus lateralis	Rodentia	Sciuridae	Spermophilus
cf. Dipodomys sp.	Dipodomys sp.	Rodentia	Heteromyidae	Dipodomys
cf. Geomyidae	Geomyidae	Rodentia	Geomyidae	NA
cf. Heteromyidae	Heteromyidae	Rodentia	Heteromyidae	NA
cf. Leporidae	Leporidae	Lagomorpha	Leporidae	NA
cf. Microtus sp.	Microtus sp.	Rodentia	Cricetidae	Microtus
cf. Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela
cf. Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
cf. Peromyscus sp.	Peromyscus sp.	Rodentia	Cricetidae	Peromyscus
cf. Sciuridae	Sciuridae	Rodentia	Sciuridae	NA
cf. Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale
cf. Sylvilagus sp.	Sylvilagus sp.	Lagomorpha	Leporidae	Sylvilagus
cf. Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea
Chaetodipus cf californicus	Chaetodipus californicus	Rodentia	Heteromyidae	Chaetodipus
Cricetidae	Cricetidae	Rodentia	Cricetidae	NA
Cricetidae (cf Neotominae)	Cricetidae (Neotominae)	Rodentia	Cricetidae	NA
Cricetidae (cf. Neotominae)	Cricetidae (Neotominae)	Rodentia	Cricetidae	NA
Cricetidae (Neotominae)	Cricetidae (Neotominae)	Rodentia	Cricetidae	NA
Dipodomys  sp	Dipodomys sp.	Rodentia	Heteromyidae	Dipodomys
Dipodomys  sp.	Dipodomys sp.	Rodentia	Heteromyidae	Dipodomys
Dipodomys sp	Dipodomys sp.	Rodentia	Heteromyidae	Dipodomys
Dipodomys sp.	Dipodomys sp.	Rodentia	Heteromyidae	Dipodomys
Formicidae	Formicidae	other	NA	NA
Geomyidae/Heteromyidae	Rodentia	Rodentia	NA	NA
Heteromyidae	Heteromyidae	Rodentia	Heteromyidae	NA
Heteromyidae (cf Perognathinae)	Heteromyidae (Perognathinae)	Rodentia	Heteromyidae	NA
Heteromyidae/Geomyidae	Rodentia	Rodentia	NA	NA
Leporidae	Leporidae	Lagomorpha	Leporidae	NA
Leporidae (Leporinae)	Leporidae (Leporinae)	Lagomorpha	Leporidae	NA
Mammalia-	Mammalia	other	NA	NA
Mammalia-??	Mammalia	other	NA	NA
Mammalia-???	Mammalia	other	NA	NA
Mammalia-Artiodactyla	Artiodactyla	Artiodactyla	NA	NA
Mammalia-Carnivora	Carnivora	Carnivora	NA	NA
Mammalia-cf Carnivora	Carnivora	Carnivora	NA	NA
Mammalia-cf Eulipotyphla	Eulipotyphla	Eulipotyphla	NA	NA
Mammalia-cf Lagomorpha	Lagomorpha	Lagomorpha	NA	NA
Mammalia-cf Rodentia	Rodentia	Rodentia	NA	NA
Mammalia-cf. Rodentia	Rodentia	Rodentia	NA	NA
Mammalia-Lagomorpha	Lagomorpha	Lagomorpha	NA	NA
Mammalia-Lagomorpha/Rodentia	Mammalia	other	NA	NA
Mammalia-Misc	Mammalia	other	NA	NA
Mammalia-Rodentia	Rodentia	Rodentia	NA	NA
Mammalia-Rodentia undet.	Rodentia	Rodentia	NA	NA
Mammalia-Rodentia/Lagomorpha	Mammalia	other	NA	NA
Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis
Microtus  sp	Microtus sp.	Rodentia	Cricetidae	Microtus
Microtus sp	Microtus sp.	Rodentia	Cricetidae	Microtus
Microtus sp.	Microtus sp.	Rodentia	Cricetidae	Microtus
Mustela cf. frenata	Mustela frenata	Carnivora	Mustelidae	Mustela
Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela
Neotamias cf. merriami	Neotamias merriami	Rodentia	Sciuridae	Neotamias
Neotamias sp	Neotamias sp.	Rodentia	Sciuridae	Neotamias
Neotoma  sp	Neotoma sp.	Rodentia	Cricetidae	Neotoma
Neotoma sp	Neotoma sp.	Rodentia	Cricetidae	Neotoma
Neotoma sp.	Neotoma sp.	Rodentia	Cricetidae	Neotoma
Neotominae	Cricetidae (Neotominae)	Rodentia	Cricetidae	NA
Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
Otospermophilus cf beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
Otospermophilus cf. beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus
Perognathus sp	Perognathus sp.	Rodentia	Heteromyidae	Perognathus
Perognathus sp.	Perognathus sp.	Rodentia	Heteromyidae	Perognathus
Peromyscus  sp	Peromyscus sp.	Rodentia	Cricetidae	Peromyscus
