NSF Number	Grid/Level	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	Museum_Number	prelim_taxon_name	element
NSF-19-01	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1					
NSF-19-02	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1					
NSF-19-03	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1					
NSF-19-04	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1					
NSF-19-05	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1	juv				
NSF-19-06	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt. m2					
NSF-19-07	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M2					
NSF-19-08	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2					
NSF-19-09	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt. M3					
NSF-19-10	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper lt M1					
NSF-19-11	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus		lower rt m1 frag	strange re-entrant				
NSF-19-12	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2					
NSF-19-13	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower right m1 frag					
NSF-19-14	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2					
NSF-19-15	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m1 frag					
NSF-19-16	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2	juv?				
NSF-19-17	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3					
NSF-19-18	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m3					
NSF-19-19	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus		molar frag					
NSF-19-20	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag					
NSF-19-21	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag					
NSF-19-22	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lt dentary	no teeth				
NSF-19-23	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3 frag					
NSF-19-24	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag					
NSF-19-25	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper lt P2					
NSF-19-26	A3/L3	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp	lower lt m1/m2					
NSF-19-27	A3/L3	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper lt P2					
NSF-19-28	A3/L3	Mammalia	Rodentia	Geomyidae		Thomomys	sp	lower (lt?) m1/m2					
NSF-19-29	A3/L3	Mammalia	Rodentia	Sciuridae	Xerinae	Otospermophilus	beecheyi	lower lt m1/m2					
NSF-19-30	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower right m1	anteroconid grade 2 				
NSF-19-31	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus		lower right m1	small anteroconid grade 0, juv?				
NSF-19-32	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper right M1	small anteroloph				
NSF-19-33	A3/L3	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus		upper right M1	weathered				
